model,station,method,metric,raw,corrected,delta_corrected_minus_raw,ci_low,ci_high,p_two_sided,n_bootstrap,p_fdr,point_improved,ci_improved,ci_worsened,fdr_significant
ACCESS-ESM1-5,500005,QDM_NP_annual,mRMSE,161.77782114961454,118.73873510574342,-43.03908604387112,-55.00932849432922,-31.960069543269906,0.0009995002498750624,2000,0.001275957765797952,True,True,False,True
ACCESS-ESM1-5,500005,QDM_NP_annual,mKGE,-0.0649466046983298,0.2908368037490142,0.355783408447344,0.1436458333818953,0.5887617181858065,0.0009995002498750624,2000,0.00399800099950025,True,True,False,True
ACCESS-ESM1-5,500005,QDM_NP_monthly,mRMSE,161.77782114961454,109.66828468111831,-52.10953646849623,-71.46882037156064,-34.63525069151351,0.0009995002498750624,2000,0.00399800099950025,True,True,False,True
ACCESS-ESM1-5,500005,QDM_NP_monthly,mKGE,-0.0649466046983298,0.3504967896624438,0.4154433943607736,0.19444708124461757,0.6756990396634021,0.0009995002498750624,2000,0.005451819544773068,True,True,False,True
ACCESS-ESM1-5,500005,QDM_P_annual,mRMSE,161.77782114961454,107.39421043763862,-54.38361071197592,-74.4297096867811,-37.10971807470526,0.0009995002498750624,2000,0.0015376926921154808,True,True,False,True
ACCESS-ESM1-5,500005,QDM_P_annual,mKGE,-0.0649466046983298,0.3424204471230472,0.407367051821377,0.14791876198942885,0.712692371926666,0.001999000499750125,2000,0.004997501249375313,True,True,False,True
ACCESS-ESM1-5,500005,QDM_P_monthly,mRMSE,161.77782114961454,108.92657083577755,-52.851250313836985,-69.26250328565698,-38.14841916278535,0.0009995002498750624,2000,0.0035276479407355147,True,True,False,True
ACCESS-ESM1-5,500005,QDM_P_monthly,mKGE,-0.0649466046983298,0.3482970225358516,0.4132436272341814,0.1926616926395961,0.6772669289293336,0.0009995002498750624,2000,0.004613078076346442,True,True,False,True
ACCESS-ESM1-5,500006,QDM_NP_annual,mRMSE,157.91327629494103,112.71963997421507,-45.19363632072596,-56.84253766693005,-33.943524219094186,0.0009995002498750624,2000,0.001275957765797952,True,True,False,True
ACCESS-ESM1-5,500006,QDM_NP_annual,mKGE,-0.05369299946937334,0.3047953612519456,0.35848836072131895,0.17997935132653914,0.5601132724672735,0.0009995002498750624,2000,0.00399800099950025,True,True,False,True
ACCESS-ESM1-5,500006,QDM_NP_monthly,mRMSE,157.91327629494103,103.22791471051879,-54.68536158442224,-75.88673056730372,-32.86378109087976,0.0009995002498750624,2000,0.00399800099950025,True,True,False,True
ACCESS-ESM1-5,500006,QDM_NP_monthly,mKGE,-0.05369299946937334,0.3943028754621267,0.44799587493150006,0.24812542327040213,0.7121161157736985,0.0009995002498750624,2000,0.005451819544773068,True,True,False,True
ACCESS-ESM1-5,500006,QDM_P_annual,mRMSE,157.91327629494103,96.8319542219738,-61.081322072967225,-80.19924606764036,-43.45002953549894,0.0009995002498750624,2000,0.0015376926921154808,True,True,False,True
ACCESS-ESM1-5,500006,QDM_P_annual,mKGE,-0.05369299946937334,0.3485165864232621,0.40220958589263545,0.16622153489992678,0.6998156137310472,0.0009995002498750624,2000,0.0028557149996430355,True,True,False,True
ACCESS-ESM1-5,500006,QDM_P_monthly,mRMSE,157.91327629494103,97.61165633403529,-60.30161996090574,-78.11556631145922,-41.92919810967443,0.0009995002498750624,2000,0.0035276479407355147,True,True,False,True
ACCESS-ESM1-5,500006,QDM_P_monthly,mKGE,-0.05369299946937334,0.3893882215194563,0.4430812209888296,0.23283144959988716,0.7226705534533245,0.0009995002498750624,2000,0.004613078076346442,True,True,False,True
ACCESS-ESM1-5,500007,QDM_NP_annual,mRMSE,107.37643263540632,121.81637444105897,14.439941805652651,4.637705416884115,27.297181565695965,0.001999000499750125,2000,0.0024987506246876563,False,False,True,True
ACCESS-ESM1-5,500007,QDM_NP_annual,mKGE,0.2273501422708628,0.09944045733236762,-0.1279096849384952,-0.33666281887815547,0.05367740330236774,0.21689155422288856,2000,0.28918873896385144,False,False,False,False
ACCESS-ESM1-5,500007,QDM_NP_monthly,mRMSE,107.37643263540632,101.20624740183145,-6.17018523357487,-24.729292225071003,13.352691227119847,0.5157421289355323,2000,0.7032847212757258,True,False,False,False
ACCESS-ESM1-5,500007,QDM_NP_monthly,mKGE,0.2273501422708628,0.298183094754218,0.0708329524833552,-0.1420423137623975,0.26513941238259897,0.44377811094452774,2000,0.6656671664167917,True,False,False,False
ACCESS-ESM1-5,500007,QDM_P_annual,mRMSE,107.37643263540632,90.64268031603545,-16.733752319370865,-30.506884916028678,-4.851628792667578,0.0029985007496251873,2000,0.004388049877500274,True,True,False,True
ACCESS-ESM1-5,500007,QDM_P_annual,mKGE,0.2273501422708628,0.3610775373965386,0.13372739512567577,0.07124041022882252,0.30260431802369875,0.0009995002498750624,2000,0.0028557149996430355,True,True,False,True
ACCESS-ESM1-5,500007,QDM_P_monthly,mRMSE,107.37643263540632,90.220135455458,-17.15629717994831,-28.04798621023676,-4.565332122548322,0.010994502748625687,2000,0.029985007496251877,True,True,False,True
ACCESS-ESM1-5,500007,QDM_P_monthly,mKGE,0.2273501422708628,0.4093777116763976,0.18202756940553477,0.10217386947253906,0.266409214481195,0.0009995002498750624,2000,0.004613078076346442,True,True,False,True
ACCESS-ESM1-5,500008,QDM_NP_annual,mRMSE,94.33712238830455,80.73736671200817,-13.599755676296382,-22.13168155151695,-4.396352371213143,0.004997501249375313,2000,0.0059970014992503755,True,True,False,True
ACCESS-ESM1-5,500008,QDM_NP_annual,mKGE,0.33794293947743514,0.4582004474475233,0.12025750797008816,0.033729200404722035,0.23725517118784167,0.010994502748625687,2000,0.026386806596701652,True,True,False,True
ACCESS-ESM1-5,500008,QDM_NP_monthly,mRMSE,94.33712238830455,75.61771857944878,-18.719403808855773,-34.905999322145355,-0.6193956565384902,0.041979010494752625,2000,0.08685312516155716,True,True,False,False
ACCESS-ESM1-5,500008,QDM_NP_monthly,mKGE,0.33794293947743514,0.4413957621418174,0.10345282266438227,-0.06595447188370632,0.2708688644964456,0.191904047976012,2000,0.3714271896309909,True,False,False,False
ACCESS-ESM1-5,500008,QDM_P_annual,mRMSE,94.33712238830455,80.25899621118732,-14.078126177117227,-25.941264683721066,-2.4686040084885232,0.01899050474762619,2000,0.022788605697151423,True,True,False,True
ACCESS-ESM1-5,500008,QDM_P_annual,mKGE,0.33794293947743514,0.46596471425171826,0.12802177477428311,0.022808424456888878,0.2694109761854344,0.021989005497251374,2000,0.0399800099950025,True,True,False,True
ACCESS-ESM1-5,500008,QDM_P_monthly,mRMSE,94.33712238830455,76.8973150000716,-17.43980738823295,-35.5480200229257,2.1756254367122687,0.08395802098950525,2000,0.16249939546355854,True,False,False,False
ACCESS-ESM1-5,500008,QDM_P_monthly,mKGE,0.33794293947743514,0.42116173741570084,0.0832187979382657,-0.11679769887348511,0.2720211709978084,0.36081959020489757,2000,0.5980793387090239,True,False,False,False
ACCESS-ESM1-5,500009,QDM_NP_annual,mRMSE,96.2460755960928,83.7343237000216,-12.511751896071189,-21.799329863734656,-3.390624509634084,0.00399800099950025,2000,0.00489551142795949,True,True,False,True
ACCESS-ESM1-5,500009,QDM_NP_annual,mKGE,0.3191334305031579,0.435381282561182,0.11624785205802413,0.035608805825090115,0.23795827502230524,0.001999000499750125,2000,0.006663334999167083,True,True,False,True
