variant,model,station,metric,delta,ci_low,ci_high,p_value,improvement_direction,q_value,fdr_reject
sens_monthly,CanESM5,500002,mRMSE,17.063461633480824,-16.18712373670338,61.08662277272422,0.553,lower,0.68748,False
sens_monthly,CanESM5,500002,mPBIAS_abs,16.276261241355726,4.97797976944642,24.526433716703455,0.006,lower,0.0225,True
sens_monthly,CanESM5,500002,mNSE,-0.4592071543577435,-1.8302048365749257,0.3106796900754951,0.553,higher,0.68748,False
sens_monthly,CanESM5,500003,mRMSE,27.9694040486957,-2.328103230686072,69.88239348494598,0.11,lower,0.21758,False
sens_monthly,CanESM5,500003,mPBIAS_abs,-3.0514520829220135,-16.877976769095586,7.871335230881765,0.698,lower,0.75341,False
sens_monthly,CanESM5,500003,mNSE,-0.7997166459378293,-2.3752705355624846,0.05290743873898971,0.11,higher,0.21758,False
sens_monthly,CanESM5,500004,mRMSE,-0.21574400289660195,-28.669596107637734,34.768084287546145,0.946,lower,0.946,False
sens_monthly,CanESM5,500004,mPBIAS_abs,13.507736401090353,-17.58566495544565,35.50636260546994,0.354,lower,0.54462,False
sens_monthly,CanESM5,500004,mNSE,-0.04190923892962549,-1.2448356657778874,0.7117376565414953,0.946,higher,0.946,False
sens_monthly,CanESM5,500005,mRMSE,-21.382403435325266,-40.99607789854418,-3.836740222987072,0.012,lower,0.03484,True
sens_monthly,CanESM5,500005,mPBIAS_abs,-5.620995040871141,-37.60418178977897,21.95254763352214,0.78,lower,0.8131,False
sens_monthly,CanESM5,500005,mNSE,0.5107869734042447,0.08963583151332385,1.0569585980980771,0.012,higher,0.03484,True
sens_monthly,CanESM5,500006,mRMSE,-22.42044735845705,-40.83143333473842,-6.398471006073615,0.005,lower,0.01957,True
sens_monthly,CanESM5,500006,mPBIAS_abs,13.507785053970785,-8.963879142430647,25.316557238593795,0.189,lower,0.3402,False
sens_monthly,CanESM5,500006,mNSE,0.5728499033319339,0.16883054766695213,1.0404862188161428,0.005,higher,0.01957,True
sens_monthly,CanESM5,500007,mRMSE,-26.340477379437278,-45.665800467508774,-6.370298984315908,0.012,lower,0.03484,True
sens_monthly,CanESM5,500007,mPBIAS_abs,5.079516603942747,-20.513158427912963,26.994961714241853,0.699,lower,0.75341,False
sens_monthly,CanESM5,500007,mNSE,0.8326267931819034,0.20648944260605484,1.5004898280130943,0.012,higher,0.03484,True
sens_monthly,CanESM5,500008,mRMSE,-37.82759653557514,-57.53734699081956,-22.039818029793388,0.0,lower,0.0,True
sens_monthly,CanESM5,500008,mPBIAS_abs,10.434195149273863,-10.525153271194107,22.649463508145445,0.286,lower,0.48953,False
sens_monthly,CanESM5,500008,mNSE,1.0408037863860884,0.5922093670616908,1.671237421102945,0.0,higher,0.0,True
sens_monthly,CanESM5,500009,mRMSE,-14.065432457705915,-22.678446781231635,-3.7916785764620315,0.01,lower,0.03333,True
sens_monthly,CanESM5,500009,mPBIAS_abs,-1.5617921517832172,-9.26010996276271,4.277249028888714,0.694,lower,0.75341,False
sens_monthly,CanESM5,500009,mNSE,0.38946510690006064,0.11714251390652554,0.6440157813393736,0.01,higher,0.03333,True
sens_monthly,CanESM5,500201,mRMSE,-7.042836992885432,-28.37906945346023,20.32109723455303,0.567,lower,0.68748,False
sens_monthly,CanESM5,500201,mPBIAS_abs,22.120272213220705,-1.973606654284449,41.309288829769294,0.075,lower,0.17308,False
sens_monthly,CanESM5,500201,mNSE,0.15824153523506754,-0.6321859258319824,0.7101482547561896,0.567,higher,0.68748,False
sens_monthly,CanESM5,500202,mRMSE,9.649923543952813,-13.121601265942996,34.66373635218575,0.454,lower,0.6463,False
sens_monthly,CanESM5,500202,mPBIAS_abs,16.79952351210046,1.8759812672412366,28.99691521842547,0.027,lower,0.07477,False
sens_monthly,CanESM5,500202,mNSE,-0.2774177784543168,-1.1373456406641342,0.2945404255915858,0.454,higher,0.6463,False
sens_monthly,CanESM5,500301,mRMSE,-21.1835341130639,-39.645897936409895,0.773994839969033,0.057,lower,0.135,False
sens_monthly,CanESM5,500301,mPBIAS_abs,3.4361442124276156,-28.00940359431736,33.042883017909965,0.806,lower,0.82903,False
sens_monthly,CanESM5,500301,mNSE,0.5003476988541955,-0.023732701447839833,1.1374383983156025,0.057,higher,0.135,False
sens_monthly,EC-Earth3,500001,mRMSE,1.5708166748652055,-8.152844087541608,12.131305663184982,0.753,lower,0.80105,False
sens_monthly,EC-Earth3,500001,mPBIAS_abs,-13.939778646109751,-19.696434268971437,-7.1680188931733735,0.003,lower,0.01286,True
sens_monthly,EC-Earth3,500001,mNSE,-0.03754118198954608,-0.2771017367559104,0.16712105139745217,0.753,higher,0.80105,False
sens_monthly,EC-Earth3,500002,mRMSE,-1.9855490191559233,-16.976621789012817,14.195165237857402,0.786,lower,0.8131,False
