source_type,season_type,metric,phase,response_absolute,response_pct,ci_low_absolute,ci_high_absolute,ci_low_pct,ci_high_pct,permutation_p_pct,valid_bootstrap_repetitions,n_groups,n_phase_min,n_phase_median,n_neutral_min,n_neutral_median,resampling_unit,bootstrap_repetitions,permutation_repetitions,permutation_p_bh_primary
OBSERVED,HOT_DRY,PRCPTOT,EL_NINO,-73.73035714285716,-28.113558784698377,-164.07332589285707,12.487589285714254,-55.90586539176211,6.943912904028926,0.1776,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.3552
OBSERVED,HOT_DRY,PRCPTOT,LA_NINA,27.56666666666669,11.695761580939976,-53.243732142857084,99.75822321428558,-16.477084338089053,58.99095347245626,0.5468,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.6906947368421053
OBSERVED,HOT_DRY,wet_day_frequency_pct,EL_NINO,-1.3861483820047362,-9.740259740259734,-4.765193370165746,2.2104380426203627,-31.382916235943657,16.904132942690755,0.541,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.6906947368421053
OBSERVED,HOT_DRY,wet_day_frequency_pct,LA_NINA,3.7483556958695083,33.168258460087245,0.41410155222310024,6.919341401385599,4.4773554905882955,51.50256576369554,0.0278,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.15698823529411765
OBSERVED,HOT_DRY,Rx1day,EL_NINO,-11.84077380952381,-23.206347154137777,-27.2688318452381,2.4485937499999886,-47.883303358929616,8.807340786640612,0.2214,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.4010264150943396
OBSERVED,HOT_DRY,Rx1day,LA_NINA,-6.069642857142853,-11.942935678340408,-14.281500315656562,9.356257440476186,-28.493627333474972,33.48883030894794,0.4988,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.6683178082191781
OBSERVED,HOT_DRY,CDD,EL_NINO,-6.883928571428573,-9.709450790625525,-21.225104166666668,8.187812499999996,-28.512707467340253,17.533901332609556,0.526,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.6823783783783784
OBSERVED,HOT_DRY,CDD,LA_NINA,-9.068181818181817,-15.992502642988075,-28.009077380952377,6.0010416666666515,-38.13126740268493,12.299210002489616,0.2594,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.4446857142857143
OBSERVED,HOT_DRY,Rx5day,EL_NINO,-30.745535714285722,-40.12754676067816,-57.681124999999994,-6.284062500000052,-58.86216546419611,-12.210525531331205,0.0784,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.2249142857142857
OBSERVED,HOT_DRY,Rx5day,LA_NINA,1.7107142857142819,2.055144227388892,-29.21812500000001,23.52565029761901,-27.317311326051666,47.90048656386363,0.9216,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.9412085106382979
OBSERVED,HOT_DRY,CWD,EL_NINO,-1.1964285714285716,-22.04761904761905,-2.791964285714285,0.125,-41.9385725010725,3.2475516286991533,0.2822,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.4591728813559322
OBSERVED,HOT_DRY,CWD,LA_NINA,1.0833333333333335,25.17825311942959,-0.4375,3.3125,-8.315455776045617,69.46559343434342,0.1758,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.3552
OBSERVED,HOT_DRY,R10mm,EL_NINO,-2.526785714285714,-37.14646464646465,-4.9287946428571425,-0.12477678571428896,-64.23621329385529,-2.375776397515603,0.1268,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.29211428571428566
OBSERVED,HOT_DRY,R10mm,LA_NINA,0.5625,10.575396825396819,-1.8129261363636344,2.972395833333331,-23.522185672097876,73.01324469181611,0.6324,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.722742857142857
OBSERVED,HOT_DRY,R20mm,EL_NINO,-1.5357142857142858,-45.07692307692308,-2.5209374999999996,0.0,-74.95985294117648,-3.323529411764852,0.1544,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.3377454545454545
OBSERVED,HOT_DRY,R20mm,LA_NINA,0.05535714285714288,4.0712581991651735,-0.8541666666666665,1.5001041666666652,-32.291666666666664,91.11594202898544,0.883,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.9315164835164835
RAW,RAINY,PRCPTOT,EL_NINO,-137.3496923076924,-12.348262948281901,-244.1844630244757,-15.070034458333453,-22.817945646667944,-1.5877178535826346,0.0976,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.24656842105263158
RAW,RAINY,PRCPTOT,LA_NINA,159.38079166666662,15.032091560067013,50.85524035714276,299.6602765029761,4.644673239981444,33.172379045803915,0.0572,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.20700000000000002
RAW,RAINY,wet_day_frequency_pct,EL_NINO,-3.2361660079051404,-5.8665472458575945,-7.29990118577075,1.568861166007888,-10.679734723946229,2.1514412842769874,0.0358,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.17184
RAW,RAINY,wet_day_frequency_pct,LA_NINA,4.345238095238095,6.56215972575596,0.3369241718426564,7.6702655926501055,0.46711336256409375,12.149738002796559,0.0496,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.1984
RAW,RAINY,Rx1day,EL_NINO,-1.549833333333332,-5.411901644114647,-3.9058024999999947,8.319505681818171,-12.026609471148138,18.85756641794357,0.5082,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.6683178082191781
RAW,RAINY,Rx1day,LA_NINA,6.180849999999994,15.659266286294933,1.7311000000000034,15.850261041666663,3.875843870877118,35.87771131888624,0.0622,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.20700000000000002
RAW,RAINY,CDD,EL_NINO,1.295454545454545,8.058608058608069,-1.3999999999999986,3.9002272727272707,-12.473730788522552,38.346814004708726,0.4878,5000,5,4,6.0,4,10.0,management-season climate year,5000,4999,0.6683178082191781
RAW,RAINY,CDD,LA_NINA,0.27500000000000036,0.027472527472529595,-2.0412053571428563,2.708333333333333,-15.847785294014377,30.316686907565494,0.9986,5000,5,2,5.0,4,10.0,management-season climate year,5000,4999,0.9986
