Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,p_MK_BH,Significant_MK_BH,Trend_MK_BH
1981-2014,Observed,Historical,465007,Rx5day,mm,mm year-1,1981,2014,34,127.0,4550.333333333333,1499.7239696257743,1.8678798587314065,0.0617788189001975,No significant trend,False,3.25360538922551,0.0011395044859405,Increasing,True,0.2263814616755793,1.0058823529411751,-0.1,3.0499999999999994,0.3295855181948079,103.1598723943436,33,-0.335207240902596,-0.2733435201745884,OK,FACTOR_LT_ONE,False,0.0866114813992965,False,No significant trend
1981-2014,Observed,Historical,465008,Rx5day,mm,mm year-1,1981,2014,34,40.0,4549.333333333333,2449.2083211095105,0.5782168287546633,0.5631177383704165,No significant trend,False,0.7880463174122725,0.4306696139412787,No significant trend,False,0.071301247771836,0.4538461538461543,-0.8181818181818182,1.971428571428571,0.5383664246284094,63.15401266612686,33,-0.2308167876857952,-0.0831440468408141,OK,FACTOR_LT_ONE,True,0.624231291371857,False,No significant trend
1981-2014,Observed,Historical,465009,Rx5day,mm,mm year-1,1981,2014,34,129.0,4550.333333333333,3927.957648161071,1.8975287453779368,0.0577581886372503,No significant trend,False,2.04233307835679,0.0411185030443018,Increasing,True,0.2299465240641711,1.1399999999999992,-0.0230769230769228,2.775000000000002,0.8632241553353757,39.38722032956838,33,-0.0683879223323121,0.1259391333716835,OK,FACTOR_LT_ONE,False,0.08514866984666798,False,No significant trend
1981-2014,Observed,Historical,465010,Rx5day,mm,mm year-1,1981,2014,34,26.0,4549.333333333333,821.3993213892988,0.3706518133042713,0.7108968850905183,No significant trend,False,0.8722939067718811,0.383048060871292,No significant trend,False,0.0463458110516934,0.3999999999999996,-0.8411764705882334,1.999999999999999,0.1805537781482925,188.3095460460268,33,-0.4097231109258537,-0.0804733723919891,OK,FACTOR_LT_ONE,True,0.7366540186082907,False,No significant trend
1981-2014,Observed,Historical,465011,Rx5day,mm,mm year-1,1981,2014,34,75.0,4550.333333333333,1511.7501662313678,1.0970088059216196,0.2726375426755972,No significant trend,False,1.9032318953130396,0.0570102930141724,No significant trend,False,0.1336898395721925,0.4625000000000003,-0.4560000000000002,1.8777777777777784,0.3322284447069155,102.3392203217098,33,-0.3338857776465422,0.007588303753302,OK,FACTOR_LT_ONE,True,0.32489307168842,False,No significant trend
1981-2014,Observed,Historical,465012,Rx5day,mm,mm year-1,1981,2014,34,66.0,4549.333333333333,2135.2870383379627,0.9636947145911056,0.3351990049886287,No significant trend,False,1.406647325287239,0.1595319924186098,No significant trend,False,0.1176470588235294,0.4631578947368419,-0.3250000000000002,1.8133333333333332,0.4693626256604549,72.43866073093811,33,-0.2653186871697725,0.0197405715416228,OK,FACTOR_LT_ONE,True,0.3928971943719172,False,No significant trend
1981-2014,Observed,Historical,465201,Rx5day,mm,mm year-1,1981,2014,34,-41.0,4550.333333333333,308.6939326374576,-0.5929777329306052,0.5531960543178076,No significant trend,False,-2.2766482959114254,0.0228072363807502,Decreasing,True,-0.0730837789661319,-0.7906250000000004,-3.37,1.7423076923076917,0.0678398504074699,501.180350425068,33,-0.466080074796265,-0.238847411269677,OK,FACTOR_LT_ONE,False,0.6180237169331757,False,No significant trend
1981-2014,Observed,Historical,465001,CDD,days,days year-1,1981,2014,34,160.0,4544.666666666667,2145.5859506187635,2.35855553590132,0.0183462144291641,Increasing,True,3.4326076493691047,0.0005978065094071,Increasing,True,0.285204991087344,0.7916666666666666,0.1333333333333333,1.4285714285714286,0.4721107416646831,72.01700151984365,33,-0.2639446291676584,0.0535243055154946,OK,FACTOR_LT_ONE,True,0.03407154108273333,True,Increasing
1981-2014,Observed,Historical,465002,CDD,days,days year-1,1981,2014,34,186.0,4543.333333333333,2634.746988279467,2.7446339295414286,0.0060578430237516,Increasing,True,3.6041451250591527,0.0003131820365155,Increasing,True,0.3315508021390374,1.0,0.2857142857142857,1.8636363636363635,0.5799149644048718,58.62928547617657,33,-0.2100425177975641,0.09042894563595,OK,FACTOR_LT_ONE,True,0.016042065785119977,True,Increasing
1981-2014,Observed,Historical,465003,CDD,days,days year-1,1981,2014,34,163.0,4543.666666666667,3831.904667649349,2.4033210094375512,0.0162469184361286,Increasing,True,2.6170237658039723,0.0088700165335913,Increasing,True,0.2905525846702317,0.9523809523809524,0.25,1.9666666666666663,0.8433507448424948,40.315373180052006,33,-0.0783246275787525,0.0670838369286403,OK,FACTOR_LT_ONE,True,0.03182615529269027,True,Increasing
