Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
1981-2014,Observed,Historical,465002,1981,OK,PRCPTOT,1542.8,mm
1981-2014,Observed,Historical,465002,1981,OK,R10mm,44.0,days
1981-2014,Observed,Historical,465002,1981,OK,R20mm,4.0,days
1981-2014,Observed,Historical,465002,1981,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1981,OK,R95p,183.4,mm
1981-2014,Observed,Historical,465002,1981,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1981,OK,Rx1day,29.0,mm
1981-2014,Observed,Historical,465002,1981,OK,Rx5day,105.3,mm
1981-2014,Observed,Historical,465002,1981,OK,SDII,6.003112840466926,mm day-1
1981-2014,Observed,Historical,465002,1982,OK,CDD,36.0,days
1981-2014,Observed,Historical,465002,1982,OK,CWD,83.0,days
1981-2014,Observed,Historical,465002,1982,OK,PRCPTOT,1455.6,mm
1981-2014,Observed,Historical,465002,1982,OK,R10mm,27.0,days
1981-2014,Observed,Historical,465002,1982,OK,R20mm,1.0,days
1981-2014,Observed,Historical,465002,1982,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1982,OK,R95p,42.9,mm
1981-2014,Observed,Historical,465002,1982,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1982,OK,Rx1day,25.9,mm
1981-2014,Observed,Historical,465002,1982,OK,Rx5day,58.199999999999996,mm
1981-2014,Observed,Historical,465002,1982,OK,SDII,5.6859375,mm day-1
1981-2014,Observed,Historical,465002,1983,OK,CDD,37.0,days
1981-2014,Observed,Historical,465002,1983,OK,CWD,140.0,days
1981-2014,Observed,Historical,465002,1983,OK,PRCPTOT,1643.2,mm
1981-2014,Observed,Historical,465002,1983,OK,R10mm,57.0,days
1981-2014,Observed,Historical,465002,1983,OK,R20mm,7.0,days
1981-2014,Observed,Historical,465002,1983,OK,R50mm,0.0,days
1981-2014,Observed,Historical,465002,1983,OK,R95p,246.70000000000002,mm
1981-2014,Observed,Historical,465002,1983,OK,R99p,0.0,mm
1981-2014,Observed,Historical,465002,1983,OK,Rx1day,27.8,mm
1981-2014,Observed,Historical,465002,1983,OK,Rx5day,80.7,mm
1981-2014,Observed,Historical,465002,1983,OK,SDII,7.022222222222222,mm day-1
1981-2014,Observed,Historical,465002,1984,OK,CDD,12.0,days
1981-2014,Observed,Historical,465002,1984,OK,CWD,87.0,days
1981-2014,Observed,Historical,465002,1984,OK,PRCPTOT,1568.4,mm
1981-2014,Observed,Historical,465002,1984,OK,R10mm,31.0,days
1981-2014,Observed,Historical,465002,1984,OK,R20mm,4.0,days
1981-2014,Observed,Historical,465002,1984,OK,R50mm,2.0,days
1981-2014,Observed,Historical,465002,1984,OK,R95p,239.5,mm
1981-2014,Observed,Historical,465002,1984,OK,R99p,154.8,mm
1981-2014,Observed,Historical,465002,1984,OK,Rx1day,66.9,mm
