Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,MK_p_FDR_BH,MK_significant_FDR_BH
1981-2014,Observed,Historical,351007,R20mm,days,days year-1,1981,2014,34,163.0,4495.666666666667,3600.1562313568425,2.41611701149028,0.0156870193035038,Increasing,True,2.699941415148009,0.0069351687205029,Increasing,True,0.2905525846702317,0.28,-0.0,0.5,0.8008058644673038,42.45723153216017,33,-0.099597067766348,0.4149932458556283,OK,FACTOR_LT_ONE,True,0.11216218802005215,False
1981-2014,Observed,Historical,351008,R20mm,days,days year-1,1981,2014,34,139.0,4493.666666666667,1020.5037135927608,2.058631716138103,0.0395295320752355,Increasing,True,4.319881081898685,1.5611330365141795e-05,Increasing,True,0.2477718360071301,0.1538461538461538,-0.0,0.3333333333333333,0.2270982227415089,149.71495412669952,33,-0.3864508886292455,0.215528501415319,OK,FACTOR_LT_ONE,True,0.19492148575029916,False
1981-2014,Observed,Historical,351009,R20mm,days,days year-1,1981,2014,34,7.0,4295.666666666667,1191.0033015777003,0.0915452812940019,0.9270593279921296,No significant trend,False,0.1738580353636787,0.8619770332107222,No significant trend,False,0.0124777183600713,0.0,-0.0416666666666666,0.0526315789473684,0.277256918191441,122.6299427324789,33,-0.3613715409042795,-0.3208453047028581,OK,FACTOR_LT_ONE,True,0.9627721221110771,False
1981-2014,Observed,Historical,351010,R20mm,days,days year-1,1981,2014,34,43.0,4387.0,1662.4095185824058,0.6341112718468269,0.5260082071030971,No significant trend,False,1.0301021223252689,0.3029620690672562,No significant trend,False,0.0766488413547237,0.0,-0.04,0.1111111111111111,0.3789399404108515,89.72398096420442,33,-0.3105300297945742,-0.1092114123366141,OK,FACTOR_LT_ONE,True,0.8477197524982653,False
1981-2014,Observed,Historical,351011,R20mm,days,days year-1,1981,2014,34,10.0,4504.0,629.5581143329003,0.1341044898934837,0.8933199492946138,No significant trend,False,0.3586944000364593,0.7198237181192874,No significant trend,False,0.017825311942959,0.0,-0.1538461538461538,0.2,0.1397775564682283,243.2436283698253,33,-0.4301112217658858,0.009310090343679,OK,FACTOR_LT_ONE,True,0.9538843188808157,False
1981-2014,Observed,Historical,351012,R20mm,days,days year-1,1981,2014,34,-61.0,4463.0,759.8727347206309,-0.8981271124430609,0.3691177861038877,No significant trend,False,-2.176610999411873,0.0295096037886893,Decreasing,True,-0.1087344028520499,-0.0588235294117647,-0.2142857142857142,0.0555555555555555,0.1702605276093728,199.69396593205613,33,-0.4148697361953136,-0.3099049647714238,OK,FACTOR_LT_ONE,False,0.7977102738547752,False
1981-2014,Observed,Historical,351201,R20mm,days,days year-1,1981,2014,34,-64.0,4496.0,769.2672003601751,-0.9395662283782324,0.3474401059767299,No significant trend,False,-2.271443515864926,0.0231201426500637,Decreasing,True,-0.1140819964349376,-0.0588235294117647,-0.2307692307692307,0.0909090909090909,0.1711003559519962,198.7137888219181,33,-0.4144498220240019,0.1192495462667248,OK,FACTOR_LT_ONE,False,0.7643682331488058,False
1981-2014,Observed,Historical,351001,R50mm,days,days year-1,1981,2014,34,-26.0,4326.0,495.1223050789513,-0.3800990210912008,0.7038719124104091,No significant trend,False,-1.1235276448626614,0.2612134663956481,No significant trend,False,-0.0463458110516934,0.0,-0.0625,0.0384615384615384,0.1144526826349864,297.065994586017,33,-0.4427736586825068,-0.3585286639174376,OK,FACTOR_LT_ONE,True,0.9418586066507527,False
1981-2014,Observed,Historical,351002,R50mm,days,days year-1,1981,2014,34,74.0,4414.0,1154.1671055884976,1.0987697532004854,0.2718685085011206,No significant trend,False,2.1487629835884707,0.0316531930913365,Increasing,True,0.1319073083778966,0.0357142857142857,-0.0,0.1153846153846153,0.2614787280445169,130.02969784299808,33,-0.3692606359777415,0.0486841915990916,OK,FACTOR_LT_ONE,False,0.6479532785943375,False
1981-2014,Observed,Historical,351003,R50mm,days,days year-1,1981,2014,34,-214.0,4438.0,1204.0075825313777,-3.1973188971055406,0.0013871148293725,Decreasing,True,-6.13853861898681,8.328406738710551e-10,Decreasing,True,-0.3814616755793226,-0.15,-0.2,-0.0555555555555555,0.2712950839412748,125.32479212693632,33,-0.3643524580293626,0.0928008374877876,OK,FACTOR_LT_ONE,True,0.02479467757503344,True
1981-2014,Observed,Historical,351004,R50mm,days,days year-1,1981,2014,34,86.0,4339.333333333333,758.9926370548209,1.2903496830322625,0.1969292739613933,No significant trend,False,3.0853195018698654,0.0020333359838969,Increasing,True,0.1532976827094474,0.0,-0.0,0.0833333333333333,0.174909963985594,194.3857240905974,33,-0.412545018007203,0.0224489795918367,OK,FACTOR_LT_ONE,False,0.558641751400933,False
1981-2014,Observed,Historical,351005,R50mm,days,days year-1,1981,2014,34,-88.0,4419.333333333333,659.7179044161902,-1.3087023209928574,0.190635205218189,No significant trend,False,-3.3871943576271164,0.0007061134568066,Decreasing,True,-0.1568627450980392,-0.0454545454545454,-0.125,-0.0,0.1492799602691635,227.7599748733541,33,-0.4253600198654182,-0.0662862940049238,OK,FACTOR_LT_ONE,False,0.5563435580857352,False
1981-2014,Observed,Historical,351006,R50mm,days,days year-1,1981,2014,34,158.0,1984.6666666666667,4292.290784142777,3.524162004895405,0.0004248244218845,Increasing,True,2.396376678971082,0.0165580643000769,Increasing,True,0.2816399286987522,0.0,-0.0,-0.0,2.162726293656085,15.720898247610917,33,0.5813631468280425,0.2783219652289861,OK,OK,True,0.010124982054913917,True
1981-2014,Observed,Historical,351007,R50mm,days,days year-1,1981,2014,34,214.0,2490.0,8124.791179629748,4.268545645499278,1.967515696968284e-05,Increasing,True,2.3630532024927238,0.0181250673772827,Increasing,True,0.3814616755793226,0.0,-0.0,-0.0,3.26296834523283,10.419960110760412,33,1.131484172616415,0.6223226132558287,OK,OK,True,0.0028135474466646463,True
1981-2014,Observed,Historical,351008,R50mm,days,days year-1,1981,2014,34,100.0,3947.3333333333335,2425.9617774751005,1.5757354062773936,0.1150867941121781,No significant trend,False,2.009986856769764,0.0444325799364251,Increasing,True,0.17825311942959,0.0,-0.0,0.0588235294117647,0.6145824465821061,55.322113719786685,33,-0.1927087767089469,0.1471155756079566,OK,FACTOR_LT_ONE,False,0.39184313233432067,False
1981-2014,Observed,Historical,351009,R50mm,days,days year-1,1981,2014,34,8.0,746.6666666666666,145.49019607843135,0.25617376914899,0.7978166621578462,No significant trend,False,0.5803382227892531,0.5616865562893727,No significant trend,False,0.0142602495543672,0.0,-0.0,-0.0,0.1948529411764705,174.49056603773587,33,-0.4025735294117647,-0.0643382352941176,OK,FACTOR_LT_ONE,True,0.9460017274211586,False
1981-2014,Observed,Historical,351010,R50mm,days,days year-1,1981,2014,34,49.0,747.6666666666666,469.9892217756667,1.7554450034260545,0.0791832199814302,No significant trend,False,2.2141002867229447,0.0268218809242919,Increasing,True,0.0873440285204991,0.0,-0.0,-0.0,0.6286079649251004,54.087765184539386,33,-0.1856960175374497,-0.057544757033248,OK,FACTOR_LT_ONE,False,0.30603244479309505,False
1981-2014,Observed,Historical,351011,R50mm,days,days year-1,1981,2014,34,40.0,4431.333333333333,739.5953187325956,0.5858647888163152,0.557966381046581,No significant trend,False,1.4340606866367769,0.1515549454696082,No significant trend,False,0.071301247771836,0.0,-0.05,0.1,0.1669013055662545,203.7132057454343,33,-0.4165493472168727,-0.0211639860279176,OK,FACTOR_LT_ONE,True,0.8487950565696535,False
1981-2014,Observed,Historical,351012,R50mm,days,days year-1,1981,2014,34,-16.0,4419.333333333333,544.0220996732053,-0.225638331205665,0.8214827255712087,No significant trend,False,-0.6431066315067865,0.5201549117827788,No significant trend,False,-0.0285204991087344,0.0,-0.074074074074074,0.0625,0.123100490196079,276.1971129915367,33,-0.4384497549019605,-0.0716299019607843,OK,FACTOR_LT_ONE,True,0.9473550786829261,False
