Model,Scenario,Station,Index,Baseline_Period,Future_Period,Baseline_mean,Future_mean,Absolute_change,Relative_change_pct,Unit
CESM2,SSP5-8.5,465001,R99p,1995-2014,2021-2050,33.201,25.38,-7.8210000000000015,-23.55651938194633,mm
CESM2,SSP5-8.5,465002,PRCPTOT,1995-2014,2021-2050,1425.589,1112.2616666666665,-313.3273333333334,-21.97879847090104,mm
CESM2,SSP5-8.5,465002,SDII,1995-2014,2021-2050,6.519627133846546,5.60707466184263,-0.9125524720039158,-13.997004019852813,mm day-1
CESM2,SSP5-8.5,465002,Rx1day,1995-2014,2021-2050,38.851,34.095333333333336,-4.755666666666663,-12.240783163024537,mm
CESM2,SSP5-8.5,465002,Rx5day,1995-2014,2021-2050,111.38199999999999,98.41366666666666,-12.968333333333334,-11.643114087853816,mm
CESM2,SSP5-8.5,465002,CDD,1995-2014,2021-2050,24.75,25.633333333333333,0.8833333333333329,3.569023569023567,days
CESM2,SSP5-8.5,465002,CWD,1995-2014,2021-2050,33.65,24.6,-9.049999999999997,-26.894502228826145,days
CESM2,SSP5-8.5,465002,R10mm,1995-2014,2021-2050,42.35,27.766666666666666,-14.583333333333336,-34.435261707988985,days
CESM2,SSP5-8.5,465002,R20mm,1995-2014,2021-2050,7.4,4.766666666666667,-2.6333333333333337,-35.58558558558559,days
CESM2,SSP5-8.5,465002,R50mm,1995-2014,2021-2050,0.15,0.13333333333333333,-0.016666666666666663,-11.111111111111109,days
CESM2,SSP5-8.5,465002,R95p,1995-2014,2021-2050,287.7245,189.4103333333333,-98.31416666666667,-34.16954992246634,mm
CESM2,SSP5-8.5,465002,R99p,1995-2014,2021-2050,40.007,29.98866666666667,-10.018333333333327,-25.041451079394424,mm
CESM2,SSP5-8.5,465003,PRCPTOT,1995-2014,2021-2050,1571.3635,1278.4813333333334,-292.88216666666654,-18.63872787338299,mm
CESM2,SSP5-8.5,465003,SDII,1995-2014,2021-2050,6.508053447905638,5.713346311748995,-0.7947071361566431,-12.21113413585115,mm day-1
CESM2,SSP5-8.5,465003,Rx1day,1995-2014,2021-2050,37.0535,31.67233333333333,-5.381166666666669,-14.522694662222648,mm
CESM2,SSP5-8.5,465003,Rx5day,1995-2014,2021-2050,110.02149999999999,98.61366666666666,-11.407833333333329,-10.368730960160814,mm
CESM2,SSP5-8.5,465003,CDD,1995-2014,2021-2050,23.45,23.966666666666665,0.5166666666666657,2.203269367448468,days
CESM2,SSP5-8.5,465003,CWD,1995-2014,2021-2050,49.95,36.333333333333336,-13.616666666666667,-27.260593927260594,days
CESM2,SSP5-8.5,465003,R10mm,1995-2014,2021-2050,46.85,32.96666666666667,-13.883333333333333,-29.633582355033795,days
CESM2,SSP5-8.5,465003,R20mm,1995-2014,2021-2050,6.65,5.133333333333334,-1.5166666666666666,-22.807017543859647,days
CESM2,SSP5-8.5,465003,R50mm,1995-2014,2021-2050,0.1,0.06666666666666667,-0.03333333333333334,-33.333333333333336,days
CESM2,SSP5-8.5,465003,R95p,1995-2014,2021-2050,271.2455,209.671,-61.5745,-22.700653098392415,mm
CESM2,SSP5-8.5,465003,R99p,1995-2014,2021-2050,35.614,22.838,-12.775999999999996,-35.87353288032796,mm
CESM2,SSP5-8.5,465004,PRCPTOT,1995-2014,2021-2050,1897.3045000000002,1470.492,-426.8125000000002,-22.495730126608574,mm
CESM2,SSP5-8.5,465004,SDII,1995-2014,2021-2050,9.726690384500118,8.247988445466083,-1.4787019390340355,-15.202518848450321,mm day-1
CESM2,SSP5-8.5,465004,Rx1day,1995-2014,2021-2050,99.1455,75.55433333333333,-23.591166666666666,-23.794490588747514,mm
CESM2,SSP5-8.5,465004,Rx5day,1995-2014,2021-2050,269.27750000000003,193.48766666666668,-75.78983333333335,-28.145624247600836,mm
CESM2,SSP5-8.5,465004,CDD,1995-2014,2021-2050,25.5,26.0,0.5,1.9607843137254901,days
CESM2,SSP5-8.5,465004,CWD,1995-2014,2021-2050,22.15,17.5,-4.649999999999999,-20.993227990970652,days
CESM2,SSP5-8.5,465004,R10mm,1995-2014,2021-2050,56.5,42.833333333333336,-13.666666666666664,-24.188790560471972,days
CESM2,SSP5-8.5,465004,R20mm,1995-2014,2021-2050,21.95,15.6,-6.35,-28.929384965831435,days
CESM2,SSP5-8.5,465004,R50mm,1995-2014,2021-2050,4.2,2.3,-1.9000000000000004,-45.23809523809524,days
CESM2,SSP5-8.5,465004,R95p,1995-2014,2021-2050,473.2,282.18833333333333,-191.01166666666666,-40.365948154409686,mm
CESM2,SSP5-8.5,465004,R99p,1995-2014,2021-2050,151.2305,66.92466666666667,-84.30583333333334,-55.74658110191617,mm
CESM2,SSP5-8.5,465005,PRCPTOT,1995-2014,2021-2050,1388.685,1089.164,-299.52099999999996,-21.568678281971792,mm
CESM2,SSP5-8.5,465005,SDII,1995-2014,2021-2050,6.521198805748513,5.640048931431786,-0.8811498743167272,-13.512084212798163,mm day-1
CESM2,SSP5-8.5,465005,Rx1day,1995-2014,2021-2050,33.119,30.934666666666665,-2.184333333333335,-6.595408476503924,mm
CESM2,SSP5-8.5,465005,Rx5day,1995-2014,2021-2050,98.936,96.29333333333334,-2.6426666666666705,-2.6710870326945404,mm
CESM2,SSP5-8.5,465005,CDD,1995-2014,2021-2050,28.5,28.133333333333333,-0.36666666666666714,-1.2865497076023409,days
CESM2,SSP5-8.5,465005,CWD,1995-2014,2021-2050,29.8,22.533333333333335,-7.266666666666666,-24.38478747203579,days
CESM2,SSP5-8.5,465005,R10mm,1995-2014,2021-2050,42.0,27.333333333333332,-14.666666666666668,-34.920634920634924,days
CESM2,SSP5-8.5,465005,R20mm,1995-2014,2021-2050,5.65,4.266666666666667,-1.3833333333333337,-24.483775811209444,days
CESM2,SSP5-8.5,465005,R50mm,1995-2014,2021-2050,0.05,0.1,0.05,100.0,days
CESM2,SSP5-8.5,465005,R95p,1995-2014,2021-2050,254.2795,183.13700000000003,-71.14249999999998,-27.97807137421616,mm
CESM2,SSP5-8.5,465005,R99p,1995-2014,2021-2050,38.7465,38.383,-0.3634999999999948,-0.9381492521905072,mm
CESM2,SSP5-8.5,465006,PRCPTOT,1995-2014,2021-2050,1961.2635000000002,1580.2913333333333,-380.9721666666669,-19.424833362098813,mm
CESM2,SSP5-8.5,465006,SDII,1995-2014,2021-2050,8.797329205191684,7.6735027344092,-1.1238264707824834,-12.774632443210889,mm day-1
CESM2,SSP5-8.5,465006,Rx1day,1995-2014,2021-2050,105.604,73.67033333333333,-31.933666666666667,-30.23906922717574,mm
