Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,CWD,27.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,PRCPTOT,1410.1999999999998,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,R10mm,36.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,R20mm,14.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,R50mm,1.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,R95p,522.01,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,R99p,158.56,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,Rx1day,52.82,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,Rx5day,150.95,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2031,OK,SDII,6.528703703703703,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,CDD,14.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,CWD,64.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,PRCPTOT,1552.83,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,R10mm,44.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,R20mm,4.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,R95p,300.38,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,R99p,0.0,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,Rx1day,26.11,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,Rx5day,76.79,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2032,OK,SDII,6.236265060240964,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,CDD,20.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,CWD,17.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,PRCPTOT,1083.86,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,R10mm,29.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,R20mm,5.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,R95p,251.16000000000003,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,R99p,35.93,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,Rx1day,35.93,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,Rx5day,81.35999999999999,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2033,OK,SDII,5.615854922279793,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,CDD,14.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,CWD,16.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,PRCPTOT,1190.3799999999999,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,R10mm,29.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,R20mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,R95p,202.55000000000004,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,R99p,0.0,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,Rx1day,19.16,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,Rx5day,59.849999999999994,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2034,OK,SDII,5.588638497652582,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,CDD,28.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,CWD,25.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,PRCPTOT,1096.27,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,R10mm,24.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,R20mm,2.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,R50mm,0.0,days
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,R95p,117.52000000000001,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,R99p,0.0,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,Rx1day,23.96,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,Rx5day,69.98,mm
2021-2050,FGOALS-g3,SSP2-4.5,465011,2035,OK,SDII,5.373872549019608,mm day-1
2021-2050,FGOALS-g3,SSP2-4.5,465011,2036,OK,CDD,18.0,days
