model,season_type,ENSO_phase,station,index,mag_err_raw,mag_err_qdm,delta_mag_err
CanESM5,HOT_DRY,EL_NINO,351004,Rx1day,4.59,61.07,56.48
CESM2,HOT_DRY,EL_NINO,351004,Rx1day,33.91,235.4,201.49
EC-Earth3,HOT_DRY,EL_NINO,351004,Rx1day,45.43,60.23,14.8
FGOALS-g3,HOT_DRY,EL_NINO,351004,Rx1day,12.26,58.92,46.66
MIROC6,HOT_DRY,EL_NINO,351004,Rx1day,133.99,3.35,-130.64
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,Rx1day,2.02,67.67,65.65
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,Rx5day,17.56,3.89,-13.67
CanESM5,HOT_DRY,EL_NINO,351004,Rx5day,5.01,131.84,126.83
CESM2,HOT_DRY,EL_NINO,351004,Rx5day,57.06,233.77,176.71
EC-Earth3,HOT_DRY,EL_NINO,351004,Rx5day,38.58,62.5,23.92
FGOALS-g3,HOT_DRY,EL_NINO,351004,Rx5day,24.56,75.41,50.85
MIROC6,HOT_DRY,EL_NINO,351004,Rx5day,143.66,12.0,-131.66
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,Rx5day,9.21,68.2,58.99
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,SDII,12.98,48.87,35.89
CanESM5,HOT_DRY,EL_NINO,351004,SDII,3.35,57.15,53.8
CESM2,HOT_DRY,EL_NINO,351004,SDII,33.73,74.12,40.39
EC-Earth3,HOT_DRY,EL_NINO,351004,SDII,28.59,62.45,33.86
FGOALS-g3,HOT_DRY,EL_NINO,351004,SDII,3.52,4.08,0.56
MIROC6,HOT_DRY,EL_NINO,351004,SDII,77.03,1.67,-75.36
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,SDII,6.69,95.58,88.89
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351004,wet_day_freq,22.09,55.97,33.88
CanESM5,HOT_DRY,EL_NINO,351004,wet_day_freq,7.17,40.46,33.29
CESM2,HOT_DRY,EL_NINO,351004,wet_day_freq,5.1,166.48,161.38
EC-Earth3,HOT_DRY,EL_NINO,351004,wet_day_freq,3.46,75.57,72.11
FGOALS-g3,HOT_DRY,EL_NINO,351004,wet_day_freq,6.65,12.01,5.36
MIROC6,HOT_DRY,EL_NINO,351004,wet_day_freq,9.42,7.36,-2.06
MRI-ESM2-0,HOT_DRY,EL_NINO,351004,wet_day_freq,1.04,4.97,3.93
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351005,CDD,4.04,32.36,28.32
CanESM5,HOT_DRY,EL_NINO,351005,CDD,2.26,33.94,31.68
CESM2,HOT_DRY,EL_NINO,351005,CDD,18.09,43.94,25.85
EC-Earth3,HOT_DRY,EL_NINO,351005,CDD,9.34,33.29,23.95
FGOALS-g3,HOT_DRY,EL_NINO,351005,CDD,14.31,13.62,-0.69
MIROC6,HOT_DRY,EL_NINO,351005,CDD,15.3,19.44,4.14
