model,season_type,ENSO_phase,station,index,R_RAW_pct,R_QDM_pct,PE_ENSO_pct
EC-Earth3,HOT_DRY,EL_NINO,351003,CWD,-18.48,5.26,-128.46
FGOALS-g3,HOT_DRY,EL_NINO,351003,CWD,16.07,37.5,133.35
MIROC6,HOT_DRY,EL_NINO,351003,CWD,28.79,7.14,-75.2
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,CWD,15.91,-1.79,-111.25
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,PRCPTOT,-22.57,-45.92,103.46
CanESM5,HOT_DRY,EL_NINO,351003,PRCPTOT,-22.41,44.0,-296.34
CESM2,HOT_DRY,EL_NINO,351003,PRCPTOT,28.22,259.42,819.28
EC-Earth3,HOT_DRY,EL_NINO,351003,PRCPTOT,9.91,68.83,594.55
FGOALS-g3,HOT_DRY,EL_NINO,351003,PRCPTOT,-3.19,42.47,-1431.35
MIROC6,HOT_DRY,EL_NINO,351003,PRCPTOT,57.72,35.24,-38.95
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,PRCPTOT,-7.01,10.59,-251.07
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R20mm,0.0,-67.11,0.0
CanESM5,HOT_DRY,EL_NINO,351003,R20mm,25.0,73.08,192.32
CESM2,HOT_DRY,EL_NINO,351003,R20mm,212.5,275.0,29.41
EC-Earth3,HOT_DRY,EL_NINO,351003,R20mm,118.75,96.43,-18.8
FGOALS-g3,HOT_DRY,EL_NINO,351003,R20mm,-37.5,-6.25,-83.33
MIROC6,HOT_DRY,EL_NINO,351003,R20mm,96.43,50.0,-48.15
MRI-ESM2-0,HOT_DRY,EL_NINO,351003,R20mm,-100.0,-12.5,-87.5
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351003,R50mm,0.0,-16.67,0.0
CanESM5,HOT_DRY,EL_NINO,351003,R50mm,0.0,-37.5,0.0
CESM2,HOT_DRY,EL_NINO,351003,R50mm,0.0,0.0,0.0
EC-Earth3,HOT_DRY,EL_NINO,351003,R50mm,0.0,50.0,0.0
FGOALS-g3,HOT_DRY,EL_NINO,351003,R50mm,-100.0,118.75,-218.75
MIROC6,HOT_DRY,EL_NINO,351003,R50mm,0.0,25.0,0.0
