model,scenario,window,index,delta_abs_Bias-corrected,delta_abs_Raw,delta_pct_Bias-corrected,delta_pct_Raw,sign_preserved,abs_pct_difference
CESM2,ssp585,Long-term,R99p,-100.74542307692307,-29.57483076923077,-62.59948680188961,-62.516868146743725,True,0.08261865514588607
CESM2,ssp585,Long-term,Rx1day,-20.161192307692303,-16.789807692307697,-25.58979085527606,-34.521125986471816,True,8.931335131195755
CESM2,ssp585,Long-term,Rx5day,-44.950192307692305,-34.260470223076936,-25.166259827870153,-29.537644056046883,True,4.37138422817673
CESM2,ssp585,Long-term,SDII,-3.447622217076555,-0.9269773204198475,-27.714803739551122,-21.614690641462012,True,6.1001130980891105
CESM2,ssp585,Mid-term,CDD,-1.0,4.157692307692312,-1.692928766766506,31.360603423266642,False,33.053532190033145
CESM2,ssp585,Mid-term,CWD,0.5500000000000007,-4.011538461538464,4.769846564376258,-13.92523364485982,False,18.695080209236078
CESM2,ssp585,Mid-term,PRCPTOT,-135.57399999999984,-67.22500884615374,-11.905232173582219,-6.681771606108787,True,5.223460567473432
CESM2,ssp585,Mid-term,R10mm,-6.619230769230764,-2.657692307692308,-17.839742925261728,-14.259182831200993,True,3.5805600940607345
CESM2,ssp585,Mid-term,R20mm,-2.75,-0.7115384615384626,-17.080745341614904,-11.091127098321357,True,5.989618243293547
CESM2,ssp585,Mid-term,R50mm,-0.14999999999999947,0.1576923076923079,-6.414473684210504,27.152317880794744,False,33.566791565005246
CESM2,ssp585,Mid-term,R95p,-28.201192307692338,12.94388846153845,-7.307075744623525,10.00045583434682,False,17.307531578970345
CESM2,ssp585,Mid-term,R99p,2.90038461538461,14.200515384615379,1.802191929975245,30.017813283294608,True,28.215621353319364
CESM2,ssp585,Mid-term,Rx1day,5.684461538461548,2.4922499999999914,7.215058498231347,5.124256204506822,True,2.0908022937245248
CESM2,ssp585,Mid-term,Rx5day,7.575307692307632,9.5541768076923,4.241186786381174,8.237127860669753,True,3.995941074288579
CESM2,ssp585,Mid-term,SDII,-0.6578010687943383,0.05537320137748836,-5.2879423479179986,1.2911584687527191,False,6.579100816670717
CESM2,ssp585,Near-term,CDD,2.7846153846153783,2.165384615384612,4.714155488995952,16.333043225993595,True,11.618887736997642
CESM2,ssp585,Near-term,CWD,-0.19230769230769162,-4.33461538461539,-1.6677785190126695,-15.046728971962631,True,13.378950452949962
CESM2,ssp585,Near-term,PRCPTOT,-127.94315384615345,-60.66552846153843,-11.235140598926105,-6.029797727086266,True,5.2053428718398385
CESM2,ssp585,Near-term,R10mm,-4.3076923076922995,-2.4769230769230752,-11.609826889188327,-13.289310771770523,True,1.679483882582197
CESM2,ssp585,Near-term,R20mm,-2.315384615384616,-1.0384615384615392,-14.381270903010035,-16.187050359712238,True,1.8057794567022025
CESM2,ssp585,Near-term,R50mm,-0.36153846153846136,0.0038461538461540545,-15.460526315789469,0.662251655629175,False,16.122777971418643
CESM2,ssp585,Near-term,R95p,-60.796576923076884,-2.337661538461532,-15.752709592692584,-1.8060786787911822,True,13.946630913901402
CESM2,ssp585,Near-term,R99p,-28.03253846153848,-3.5416038461538406,-17.418384556355132,-7.486432717253344,True,9.931951839101789
CESM2,ssp585,Near-term,Rx1day,-5.5220384615384575,-1.1225615384615466,-7.008901416591562,-2.308072195165944,True,4.700829221425618
