model,scenario,station,index,future_mean,window,obs_baseline,model_baseline,delta_obs_abs,delta_obs_pct,delta_model_abs,delta_model_pct
ACCESS-ESM1-5,ssp245,351006,CWD,9.4,Near-term,46.55,8.6,-37.15,-79.80665950590763,0.8000000000000007,9.302325581395358
ACCESS-ESM1-5,ssp245,351006,PRCPTOT,1046.6299999999999,Near-term,1099.6,1050.916,-52.97000000000003,-4.817206256820665,-4.286000000000058,-0.4078346889760988
ACCESS-ESM1-5,ssp245,351006,R10mm,32.5,Near-term,28.85,34.0,3.6499999999999986,12.651646447140378,-1.5,-4.411764705882353
ACCESS-ESM1-5,ssp245,351006,R20mm,15.95,Near-term,9.25,17.7,6.699999999999999,72.43243243243242,-1.75,-9.887005649717514
ACCESS-ESM1-5,ssp245,351006,R50mm,2.9,Near-term,1.4,2.55,1.5,107.14285714285715,0.3500000000000001,13.725490196078436
ACCESS-ESM1-5,ssp245,351006,R95p,627.911,Near-term,351.10499999999996,653.7415,276.806,78.83852408823572,-25.83050000000003,-3.9511794799626503
ACCESS-ESM1-5,ssp245,351006,R99p,357.356,Near-term,174.83,339.5745,182.52599999999998,104.40199050506205,17.781499999999994,5.236406149460573
ACCESS-ESM1-5,ssp245,351006,Rx1day,92.9105,Near-term,57.404999999999994,73.1905,35.505500000000005,61.850884069331954,19.72,26.94338746148749
ACCESS-ESM1-5,ssp245,351006,Rx5day,201.2125,Near-term,129.66500000000002,202.523,71.54749999999999,55.17872980372496,-1.3104999999999905,-0.6470869975262022
ACCESS-ESM1-5,ssp245,351006,SDII,13.661696586602284,Near-term,9.307368680142666,14.045695687088957,4.354327906459618,46.78366202200205,-0.3839991004866725,-2.7339272403548587
ACCESS-ESM1-5,ssp245,351007,CDD,52.65,Near-term,39.2,50.6,13.449999999999996,34.311224489795904,2.049999999999997,4.05138339920948
ACCESS-ESM1-5,ssp245,351007,CWD,12.35,Near-term,49.1,11.25,-36.75,-74.84725050916497,1.0999999999999996,9.777777777777775
ACCESS-ESM1-5,ssp245,351007,PRCPTOT,1001.6514999999999,Near-term,1196.15,996.424,-194.49850000000015,-16.26037704301301,5.227499999999964,0.5246260628005712
ACCESS-ESM1-5,ssp245,351007,R10mm,32.15,Near-term,30.95,33.5,1.1999999999999993,3.8772213247172838,-1.3500000000000014,-4.029850746268661
ACCESS-ESM1-5,ssp245,351007,R20mm,12.05,Near-term,9.7,12.7,2.3500000000000014,24.226804123711357,-0.6499999999999986,-5.118110236220462
ACCESS-ESM1-5,ssp245,351007,R50mm,1.1,Near-term,1.5,0.85,-0.3999999999999999,-26.66666666666666,0.2500000000000001,29.411764705882366
ACCESS-ESM1-5,ssp245,351007,R95p,412.90299999999996,Near-term,389.235,421.221,23.66799999999995,6.080645368479183,-8.31800000000004,-1.9747353527008484
ACCESS-ESM1-5,ssp245,351007,R99p,155.46949999999998,Near-term,200.07,132.3585,-44.60050000000001,-22.29244764332484,23.11099999999999,17.460911086178818
ACCESS-ESM1-5,ssp245,351007,Rx1day,59.52,Near-term,64.30499999999999,51.998000000000005,-4.7849999999999895,-7.441101003032409,7.5219999999999985,14.465940997730677
ACCESS-ESM1-5,ssp245,351007,Rx5day,145.994,Near-term,134.305,152.18900000000002,11.688999999999993,8.703324522541969,-6.195000000000022,-4.070596429439724
ACCESS-ESM1-5,ssp245,351007,SDII,8.986919390764559,Near-term,9.249164907588192,9.006149995198658,-0.26224551682363284,-2.8353426438367597,-0.01923060443409952,-0.21352747227563057
