source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_la,p_val_el_vs_la,diagnostic_only
RAW_CMIP6,CanESM5,RAINY,R99p,6,7,8,133.40166666666667,206.1878571428572,70.130625,63.27104166666668,136.05723214285717,90.21884756718865,194.00544646915264,23.0,0.8293986370624102,False
RAW_CMIP6,CanESM5,RAINY,CWD,6,7,8,24.166666666666668,21.142857142857142,19.125,5.041666666666668,2.0178571428571423,26.361655773420484,10.550887021475257,25.5,0.5661044915545698,False
RAW_CMIP6,CanESM5,RAINY,CDD,6,7,8,9.333333333333334,8.428571428571429,10.0,-0.6666666666666661,-1.5714285714285712,-6.666666666666661,-15.714285714285712,26.0,0.5150755147479535,False
RAW_CMIP6,CanESM5,HOT_DRY,PRCPTOT,8,12,8,360.86375,380.0579166666666,365.39,-4.5262500000000045,14.667916666666656,-1.2387449027066983,4.014318034611417,43.0,0.7344923394458999,False
RAW_CMIP6,CanESM5,HOT_DRY,Rx1day,8,12,8,16.56375,19.7075,18.6415,-2.0777500000000018,1.065999999999999,-11.145830539387934,5.718423946570817,34.0,0.3053901722632373,False
RAW_CMIP6,CanESM5,HOT_DRY,Rx5day,8,12,8,52.759,56.15891666666667,59.629625,-6.870625000000004,-3.4707083333333344,-11.522167043646515,-5.820442998481601,48.0,1.0,False
RAW_CMIP6,CanESM5,HOT_DRY,SDII,8,12,8,3.485627162307291,3.652684108304304,3.607735838139668,-0.1221086758323766,0.0449482701646357,-3.384634610480296,1.245885845894232,40.0,0.5713582599031516,False
RAW_CMIP6,CanESM5,HOT_DRY,R95p,8,12,8,18.736,16.59058333333333,21.56625,-2.830249999999996,-4.975666666666665,-13.12351475105777,-23.071543113274984,41.5,0.6208781961903972,False
RAW_CMIP6,CanESM5,HOT_DRY,R99p,8,12,8,0.0,2.6595,0.0,0.0,2.6595,,,44.0,0.4749585398895067,False
RAW_CMIP6,CanESM5,HOT_DRY,CWD,8,12,8,14.75,16.25,15.875,-1.125,0.375,-7.086614173228346,2.3622047244094486,36.5,0.3941031650970407,False
RAW_CMIP6,CanESM5,HOT_DRY,CDD,8,12,8,19.75,18.58333333333333,15.75,4.0,2.833333333333332,25.396825396825395,17.989417989417984,51.5,0.8155251749685855,False
QDM_CMIP6,CanESM5,RAINY,PRCPTOT,6,7,8,984.0879487179488,1032.9536263736263,806.3613461538462,177.72660256410256,226.5922802197804,22.04056573542577,28.100588067691017,25.0,0.6282051282051282,False
QDM_CMIP6,CanESM5,RAINY,Rx1day,6,7,8,57.711923076923085,67.2976923076923,70.12769230769231,-12.415769230769229,-2.8300000000000125,-17.70451703485948,-4.0354956891823885,21.0,1.0,False
QDM_CMIP6,CanESM5,RAINY,Rx5day,6,7,8,157.4852564102564,185.0289010989011,154.5125,2.972756410256409,30.5164010989011,1.9239585213211932,19.75011801563052,21.0,1.0,False
QDM_CMIP6,CanESM5,RAINY,SDII,6,7,8,12.779655952968808,13.00298177348748,12.292332344650957,0.4873236083178529,0.7106494288365237,3.9644519417009847,5.7812415814299465,24.0,0.7307692307692307,False
QDM_CMIP6,CanESM5,RAINY,R95p,6,7,8,207.6005128205128,337.7795604395605,161.03519230769228,46.56532051282053,176.7443681318682,28.91623864667265,109.75511973442438,23.0,0.8356643356643356,False
QDM_CMIP6,CanESM5,RAINY,R99p,6,7,8,31.737435897435898,134.2831868131868,52.3739423076923,-20.63650641025641,81.9092445054945,-39.40223993263434,156.39312393992589,21.0,1.0,False
QDM_CMIP6,CanESM5,RAINY,CWD,6,7,8,12.205128205128204,10.23076923076923,8.817307692307693,3.387820512820511,1.4134615384615363,38.42239185750634,16.030534351145015,27.0,0.4452214452214452,False
QDM_CMIP6,CanESM5,RAINY,CDD,6,7,8,15.0,15.142857142857142,17.44230769230769,-2.44230769230769,-2.2994505494505475,-14.002205071664816,-13.183178453299725,23.5,0.7747957407506022,False
QDM_CMIP6,CanESM5,HOT_DRY,PRCPTOT,8,12,8,163.86932692307693,128.57076923076923,99.7,64.16932692307692,28.870769230769227,64.36241416557364,28.957642157240947,40.0,0.5713582599031516,False
QDM_CMIP6,CanESM5,HOT_DRY,Rx1day,8,12,8,34.68317307692308,34.724487179487184,25.642692307692307,9.040480769230768,9.081794871794877,35.25558338707984,35.41669791463557,49.0,0.9699293482575216,False
QDM_CMIP6,CanESM5,HOT_DRY,Rx5day,8,12,8,60.94961538461539,47.47653846153847,39.72884615384616,21.220769230769235,7.747692307692311,53.41400842247932,19.501427949077893,55.0,0.6238787012780821,False
QDM_CMIP6,CanESM5,HOT_DRY,SDII,8,12,8,10.15975132139211,9.7641970573439,7.692262060833318,2.467489260558791,2.071934996510583,32.07755067423539,26.935314737393725,48.0,1.0,False
QDM_CMIP6,CanESM5,HOT_DRY,R95p,8,12,8,31.613653846153845,23.49692307692308,16.37519230769231,15.238461538461536,7.121730769230769,93.05821423118928,43.49097485643152,44.0,0.7391973850449902,False
