source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_neu,p_val_el_vs_neu,mwu_stat_la_vs_neu,p_val_la_vs_neu,mwu_stat_el_vs_la,p_val_el_vs_la,low_n_flag
OBSERVED,OBSERVED,HOT_DRY,R99p,8,12,8,22.290625000000002,30.98194444444444,41.15520833333334,-18.86458333333334,-10.1732638888889,-45.83765724265358,-24.71926227779327,25.0,0.4935627897033893,57.0,0.5208065412399778,37.5,0.43867439212530335,False
OBSERVED,OBSERVED,HOT_DRY,CWD,8,12,8,4.520833333333334,7.5902777777777795,6.322916666666667,-1.802083333333333,1.2673611111111125,-28.50082372322899,20.043931905546426,16.0,0.10229172467490194,63.0,0.2702706993728666,8.0,0.002203538907301715,False
OBSERVED,OBSERVED,HOT_DRY,CDD,8,12,8,62.34374999999999,58.958333333333336,66.36458333333333,-4.020833333333336,-7.406249999999993,-6.058703500235446,-11.159943493956982,31.0,0.959129759129759,44.0,0.7920774787647853,51.0,0.8506311026434865,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,PRCPTOT,6,7,8,939.3436944444444,926.7478095238095,907.1804999999999,32.16319444444446,19.567309523809513,3.5454018736562856,2.156936742336229,24.0,1.0,31.0,0.778865578865579,22.0,0.9452214452214451,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,Rx1day,6,7,8,51.76591666666666,52.30057142857142,49.340864583333335,2.425052083333327,2.959706845238088,4.914895804546717,5.998490035048628,21.0,0.7545787545787546,31.0,0.778865578865579,14.0,0.36596736596736595,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,Rx5day,6,7,8,127.96805555555557,129.5132380952381,118.33307291666665,9.634982638888914,11.180165178571457,8.142256768464156,9.44804770382734,26.0,0.8518148518148518,28.0,1.0,21.0,1.0,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,SDII,6,7,8,6.714446479618787,6.589545094896134,6.756665767349069,-0.04221928773028161,-0.16712067245293483,-0.624853872960569,-2.4734192604365495,21.0,0.7545787545787546,27.0,0.9550893550893552,23.0,0.8356643356643356,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,R95p,6,7,8,212.8788888888889,227.48647619047617,182.47238541666667,30.406503472222226,45.0140907738095,16.663619211636043,24.668987951805445,26.0,0.8518148518148518,31.0,0.778865578865579,20.0,0.9452214452214451,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,R99p,6,7,8,79.60020833333333,86.74511904761906,56.729427083333334,22.870781249999993,30.015691964285722,40.31555125068282,52.91026810511207,30.0,0.4908424908424909,36.0,0.39689199689199695,19.0,0.8356643356643356,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,CWD,6,7,8,28.76388888888889,22.833333333333336,25.09375,3.6701388888888893,-2.2604166666666643,14.625709146257094,-9.007887090078862,30.0,0.4908424908424909,25.0,0.778865578865579,30.0,0.23426573426573427,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,CDD,6,7,8,8.138888888888888,7.05952380952381,9.875,-1.7361111111111125,-2.81547619047619,-17.58087201125177,-28.51115129596142,13.0,0.1742945403996029,10.0,0.04009324009324009,25.0,0.6282051282051282,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,PRCPTOT,8,12,8,186.21904166666667,210.09229861111112,224.79904166666668,-38.58000000000001,-14.706743055555563,-17.161994870603877,-6.542173376950071,20.0,0.23449883449883446,43.0,0.7344923394458999,36.0,0.3837421608319441,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx1day,8,12,8,10.034958333333332,12.127104166666667,9.950416666666666,0.08454166666666652,2.1766875000000017,0.8496294125036625,21.87534022863366,31.0,0.959129759129759,57.0,0.5208065412399778,43.0,0.7344923394458999,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx5day,8,12,8,25.912947916666667,27.92493055555555,31.423625,-5.510677083333334,-3.4986944444444497,-17.53673258044969,-11.1339619297406,26.0,0.5737373737373737,46.0,0.910105580693816,46.0,0.910105580693816,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,SDII,8,12,8,1.9873766486896092,2.0636752255693502,2.1756159352582465,-0.1882392865686373,-0.11194070968889624,-8.6522296292288,-5.145242221973743,27.0,0.6453768453768453,42.0,0.6784313725490196,44.0,0.7920774787647853,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,R95p,8,12,8,0.30624999999999997,3.6613194444444446,2.1741562500000002,-1.8679062500000003,1.4871631944444443,-85.91407586276286,68.4018544869737,19.0,0.11046513041143856,53.0,0.7106713660508694,28.0,0.07751424266509128,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,R99p,8,12,8,0.0,0.9413402777777778,0.0,0.0,0.9413402777777778,,,32.0,1.0,56.0,0.266717246715916,40.0,0.266717246715916,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,CWD,8,12,8,9.989583333333332,9.743055555555555,12.229166666666668,-2.2395833333333357,-2.4861111111111125,-18.313458262350952,-20.329358319136865,14.0,0.06588276418872593,25.0,0.08246386634176106,49.5,0.9384797984036732,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,CDD,8,12,8,17.229166666666668,13.902777777777779,13.40625,3.822916666666668,0.49652777777777857,28.515928515928522,3.70370370370371,49.0,0.08289640988222398,51.5,0.8168259887707218,69.0,0.11526553941414623,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,PRCPTOT,6,7,8,823.5054166666665,848.3209523809522,774.7752083333332,48.73020833333328,73.545744047619,6.2895931373642995,9.492526768613025,25.0,0.9497169497169498,33.0,0.6125874125874127,19.0,0.8356643356643356,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,Rx1day,6,7,8,51.09069444444446,50.676904761904765,39.701875,11.388819444444458,10.975029761904764,28.685847820649425,27.64360565314551,30.0,0.4908424908424909,41.0,0.151981351981352,18.0,0.7307692307692307,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,Rx5day,6,7,8,129.72055555555553,130.5127380952381,108.50739583333333,21.2131597222222,22.005342261904758,19.549966672138623,20.28003906360892,28.0,0.662004662004662,38.0,0.280963480963481,19.0,0.8356643356643356,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,SDII,6,7,8,8.467458808656815,9.095960946942824,8.379261719878881,0.08819708877793353,0.716699227063943,1.052563957618075,8.553250286521692,23.0,0.9497169497169498,34.0,0.5358197358197359,14.0,0.36596736596736595,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,R95p,6,7,8,125.61694444444443,160.67190476190476,82.29552083333333,43.3214236111111,78.37638392857143,52.64128979613191,95.23772756393508,27.0,0.7545787545787546,41.0,0.151981351981352,15.0,0.4452214452214452,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,R99p,6,7,8,31.26291666666667,27.829166666666662,11.384895833333333,19.878020833333338,16.444270833333327,174.59993595315436,144.4393613614529,29.0,0.5453987298064473,41.0,0.14437652319832986,17.0,0.6165905559145692,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,CWD,6,7,8,23.625,24.047619047619044,21.833333333333336,1.7916666666666643,2.214285714285708,8.206106870228997,10.14176663031622,26.5,0.7960340952569827,33.0,0.6125874125874127,22.0,0.9452214452214451,False
