model,station,method,period,n_values,n_wet_after_occurrence,n_dry_after_occurrence,n_extrapolated,pct_extrapolated,extrapolation_rule
CanESM5,351009,detqm,validation,4380,2588,1792,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351009,qdm,validation,4380,2588,1792,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,qm,calibration,8030,4790,3240,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,detqm,calibration,8030,4790,3240,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,qdm,calibration,8030,4790,3240,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,qm,validation,4380,2481,1899,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,detqm,validation,4380,2481,1899,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351010,qdm,validation,4380,2481,1899,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351011,qm,calibration,8030,1942,6088,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351011,detqm,calibration,8030,1942,6088,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351011,qdm,calibration,8030,1942,6088,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351011,qm,validation,4380,877,3503,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351011,detqm,validation,4380,877,3503,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351011,qdm,validation,4380,877,3503,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351012,qm,calibration,8030,1730,6300,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351012,detqm,calibration,8030,1730,6300,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351012,qdm,calibration,8030,1730,6300,2,0.116,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351012,qm,validation,4380,773,3607,2,0.259,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351012,detqm,validation,4380,773,3607,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351012,qdm,validation,4380,773,3607,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351201,qm,calibration,8030,2026,6004,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351201,detqm,calibration,8030,2026,6004,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351201,qdm,calibration,8030,2026,6004,2,0.099,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351201,qm,validation,4380,925,3455,1,0.108,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351201,detqm,validation,4380,925,3455,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
CanESM5,351201,qdm,validation,4380,925,3455,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
EC-Earth3,351001,qm,calibration,7920,1697,6223,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
EC-Earth3,351001,detqm,calibration,7920,1697,6223,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
EC-Earth3,351001,qdm,calibration,7920,1697,6223,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
EC-Earth3,351001,qm,validation,4314,939,3375,0,0.0,constant correction ratio at the nearest calibration quantile; no clipping
EC-Earth3,351001,detqm,validation,4314,939,3375,12,1.278,constant correction ratio at the nearest calibration quantile; no clipping
