station,model,scenario,scale,period,mk_trend,mk_p_value,mk_slope,mk_intercept,mk_z,mk_tau,mk_s_stat,mk_n,sp_rho,sp_p_value,sp_trend
331201,ACCESS-ESM1-5,ssp585,wet,full,decreasing,2.0650148258027912e-14,-6.408376168224298,1165.8533820093458,-7.64623883180636,-0.4722689075630252,-3372.0,120,-0.6620320855614972,1.8241262719960666e-16,decreasing
331301,ACCESS-ESM1-5,ssp585,wet,full,decreasing,1.7319479184152442e-14,-6.742171658986174,1234.2842137096773,-7.668921237121716,-0.47366946778711483,-3382.0,120,-0.666518508229738,9.657845744841766e-17,decreasing
331401,ACCESS-ESM1-5,ssp585,wet,full,decreasing,2.886579864025407e-15,-7.484783549783551,1364.9146212121213,-7.900281771338343,-0.4879551820728291,-3484.0,120,-0.6830265990693798,8.439360576966576e-18,decreasing
331402,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-10.697678571428572,1672.2818750000001,-9.48351366235016,-0.5857142857142857,-4182.0,120,-0.7806653239808319,7.58596238035333e-26,decreasing
REGIONAL_MEAN,ACCESS-ESM1-5,ssp585,wet,full,decreasing,0.0,-7.21964118077357,1339.4661502560273,-8.617045779303579,-0.5322128851540616,-3800.0,120,-0.7326272657823458,1.9082661886197255e-21,decreasing
331002,ACCESS-ESM1-5,ssp585,dry,historical,decreasing,0.04698056111666782,-2.232857142857146,172.88214285714292,-1.9864754053175273,-0.24064171122994651,-135.0,34,-0.35951107715813596,0.0367730163166169,decreasing
331003,ACCESS-ESM1-5,ssp585,dry,historical,decreasing,0.04077869206766538,-1.9357692307692307,150.50019230769232,-2.0457731786105877,-0.24777183600713013,-139.0,34,-0.35951107715813596,0.0367730163166169,decreasing
331004,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.0503678681310844,-1.9973333333333338,146.69600000000003,-1.956826518670997,-0.23707664884135474,-133.0,34,-0.34606569900687545,0.044979782875659936,decreasing
331005,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.06177881890019754,-1.8060000000000032,133.52400000000006,-1.8678798587314063,-0.22638146167557932,-127.0,34,-0.34300993124522533,0.047035999664043954,decreasing
331006,ACCESS-ESM1-5,ssp585,dry,historical,decreasing,0.024239270374671662,-1.65,115.44,-2.2533153851362995,-0.2727272727272727,-153.0,34,-0.39251336898395717,0.02166804347518799,decreasing
331007,ACCESS-ESM1-5,ssp585,dry,historical,decreasing,0.0379474349384441,-1.6005882352941172,151.34470588235294,-2.075422065257118,-0.25133689839572193,-141.0,34,-0.3781512605042016,0.027445893556848292,decreasing
331008,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.0503678681310844,-1.9095652173913051,155.79782608695655,-1.956826518670997,-0.23707664884135474,-133.0,34,-0.35462184873949576,0.03960386695425506,decreasing
331009,ACCESS-ESM1-5,ssp585,dry,historical,decreasing,0.03528513235300679,-2.2372727272727273,159.83499999999998,-2.1050709519036483,-0.2549019607843137,-143.0,34,-0.3747899159663865,0.02896651041803927,decreasing
331010,ACCESS-ESM1-5,ssp585,dry,historical,decreasing,0.0379474349384441,-2.420555555555557,185.3091666666667,-2.075422065257118,-0.25133689839572193,-141.0,34,-0.36928953399541636,0.03160323674765182,decreasing
331011,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.07525071447248366,-2.2400000000000007,184.905,-1.7789331987918156,-0.21568627450980393,-121.0,34,-0.3414820473644003,0.048091968789225316,decreasing
331201,ACCESS-ESM1-5,ssp585,dry,historical,decreasing,0.04378698047778862,-3.3125,204.93125,-2.0161242919640574,-0.24420677361853832,-137.0,34,-0.35645530939648584,0.03852235145472023,decreasing
331301,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.0503678681310844,-3.404285714285714,201.3907142857143,-1.956826518670997,-0.23707664884135474,-133.0,34,-0.3527883880825057,0.04070978348500515,decreasing
331401,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.08024188634387097,-3.0666666666666664,204.28,-1.7492843121452852,-0.21212121212121213,-119.0,34,-0.3359816653934301,0.0520513953019817,no trend
331402,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.1920457783931342,-2.008947368421052,260.56263157894733,-1.3045510124473314,-0.1586452762923351,-89.0,34,-0.2186401833460657,0.2141292485534147,no trend
REGIONAL_MEAN,ACCESS-ESM1-5,ssp585,dry,historical,no trend,0.06177881890019754,-2.1979813664596275,172.32633540372672,-1.8678798587314063,-0.22638146167557932,-127.0,34,-0.3537051184110008,0.040153751203069916,decreasing
331002,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.08039114754218035,2.888695652173913,136.17391304347825,1.7484210383431547,0.22758620689655173,99.0,30,0.32057842046718577,0.08413373020217753,no trend
331003,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.06352953541982798,2.347826086956522,116.02152173913043,1.8554672243641641,0.2413793103448276,105.0,30,0.3397107897664071,0.0662596455420711,no trend
331004,ACCESS-ESM1-5,ssp585,dry,near_future,increasing,0.045695472216719324,2.6443478260869564,100.86195652173912,1.9981954723921767,0.2597701149425287,113.0,30,0.37085650723025576,0.043638654938209204,increasing
331005,ACCESS-ESM1-5,ssp585,dry,near_future,increasing,0.045695472216719324,2.8000000000000007,90.89999999999999,1.9981954723921767,0.2597701149425287,113.0,30,0.3753058954393771,0.04098544618558151,increasing
331006,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.08676057117588454,1.7042857142857133,87.63285714285715,1.7127389763361516,0.22298850574712645,97.0,30,0.3041156840934371,0.10228067785201173,no trend
331007,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.06352953541982798,2.0564,127.10220000000001,1.8554672243641641,0.2413793103448276,105.0,30,0.32858731924360396,0.07624980782392135,no trend
331008,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.06879172817146428,2.208125,128.28218750000002,1.819785162357161,0.2367816091954023,103.0,30,0.3032258064516129,0.10333931335563053,no trend
331009,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.07440691359805185,2.558947368421053,124.32026315789474,1.7841031003501577,0.23218390804597702,101.0,30,0.31345939933259176,0.09165196861373621,no trend
331010,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.06879172817146428,3.2671428571428556,141.69642857142858,1.819785162357161,0.2367816091954023,103.0,30,0.3472747497219132,0.06007048204871343,no trend
331011,ACCESS-ESM1-5,ssp585,dry,near_future,increasing,0.045695472216719324,2.6744444444444437,141.95055555555558,1.9981954723921767,0.2597701149425287,113.0,30,0.38064516129032255,0.03797377572793591,increasing
331201,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.06352953541982798,5.04875,120.33812500000002,1.8554672243641641,0.2413793103448276,105.0,30,0.3236929922135706,0.08099687862909566,no trend
331301,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.08039114754218035,4.518750000000001,127.498125,1.7484210383431547,0.22758620689655173,99.0,30,0.2978865406006674,0.10986475097952343,no trend
331401,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.07440691359805185,5.494545454545454,130.21909090909088,1.7841031003501577,0.23218390804597702,101.0,30,0.30055617352614017,0.10656462177179264,no trend
331402,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.4754490495282657,3.2093749999999996,227.50906249999997,0.7136412401400631,0.09425287356321839,41.0,30,0.1292547274749722,0.49603643268330655,no trend
REGIONAL_MEAN,ACCESS-ESM1-5,ssp585,dry,near_future,no trend,0.10071962676451429,2.663181818181822,138.224935064935,1.6413748523221452,0.21379310344827587,93.0,30,0.2992213570634038,0.10820527641076165,no trend
331002,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.8584007529637274,0.33315789473684276,126.90921052631579,0.17841031003501578,0.02528735632183908,11.0,30,0.059844271412680755,0.7534190208543122,no trend
331003,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.7481053914270006,0.389615384615385,106.77557692307693,0.3211385580630284,0.04367816091954023,19.0,30,0.08164627363737487,0.6679884442895886,no trend
331004,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.8584007529637274,0.1142857142857159,99.28285714285711,0.17841031003501578,0.02528735632183908,11.0,30,0.04961067853170189,0.7945993085612236,no trend
331005,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.8584007529637274,0.35166666666666657,86.62583333333333,0.17841031003501578,0.02528735632183908,11.0,30,0.05005561735261402,0.7927966871761777,no trend
331006,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.9147523390847367,0.07392857142857119,78.70803571428571,0.10704618602100947,0.016091954022988506,7.0,30,0.06785317018909899,0.721641164933467,no trend
331007,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.8304750241244809,0.0956521739130436,120.48804347826086,0.21409237204201895,0.029885057471264367,13.0,30,0.030923248053392655,0.8711364062149981,no trend
331008,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.8304750241244809,0.32166666666666544,118.82583333333336,0.21409237204201895,0.029885057471264367,13.0,30,0.06607341490545049,0.7286658674295455,no trend
331009,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.9431079616717606,0.2433333333333336,109.52166666666668,0.07136412401400631,0.011494252873563218,5.0,30,0.0460511679644049,0.8090568885443503,no trend
331010,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.8865048064138312,0.2600000000000008,136.57,0.14272824802801262,0.020689655172413793,9.0,30,0.03670745272525028,0.8472906542071432,no trend
331011,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,1.0,-0.06086956521739155,137.00760869565218,0.0,-0.0022988505747126436,-1.0,30,0.0002224694104560623,0.9990690797409111,no trend
331201,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.4977975765265772,1.112222222222223,112.37777777777777,0.67795917813306,0.0896551724137931,39.0,30,0.13592880978865407,0.4738605007204884,no trend
331301,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.5441196833389506,1.1199999999999988,110.29500000000002,0.6065950541190537,0.08045977011494253,35.0,30,0.12569521690767518,0.5080737953256859,no trend
331401,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.7212260985001633,0.9743750000000002,125.3415625,0.35682062007003157,0.04827586206896552,21.0,30,0.0896551724137931,0.6375361975693831,no trend
331402,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.7752944295177846,1.1129999999999995,197.0415,0.28545649605602524,0.03908045977011494,17.0,30,0.0731924360400445,0.7007018454903046,no trend
REGIONAL_MEAN,ACCESS-ESM1-5,ssp585,dry,mid_future,no trend,0.7752944295177846,0.5055357142857151,123.88973214285716,0.28545649605602524,0.03908045977011494,17.0,30,0.06785317018909899,0.721641164933467,no trend
331002,ACCESS-ESM1-5,ssp585,dry,far_future,no trend,0.40110257289194085,1.4161538461538459,121.16461538461539,0.8396537142495835,0.14619883040935672,25.0,19,0.18070175438596495,0.4591089856621523,no trend
331003,ACCESS-ESM1-5,ssp585,dry,far_future,no trend,0.5756369136048027,1.4333333333333371,107.13999999999996,0.5597691428330557,0.09941520467836257,17.0,19,0.0894736842105263,0.7156627488431645,no trend
331004,ACCESS-ESM1-5,ssp585,dry,far_future,no trend,0.6242768461207495,1.0162500000000012,100.10374999999999,0.4897979999789237,0.08771929824561403,15.0,19,0.11578947368421051,0.6368959292043221,no trend
331005,ACCESS-ESM1-5,ssp585,dry,far_future,no trend,0.5756369136048027,0.682500000000001,90.6475,0.5597691428330557,0.09941520467836257,17.0,19,0.1105263157894737,0.6523856873272673,no trend
331006,ACCESS-ESM1-5,ssp585,dry,far_future,no trend,0.7795660645811546,0.6215384615384614,81.54615384615384,0.27988457141652784,0.05263157894736842,9.0,19,0.06491228070175438,0.7917682134335994,no trend
331007,ACCESS-ESM1-5,ssp585,dry,far_future,no trend,0.48410753779266247,0.9483333333333306,119.06500000000003,0.6997114285413196,0.12280701754385964,21.0,19,0.15438596491228068,0.5279958428489308,no trend
