year,mme_mean,mme_median,q25,q75,mme_min,mme_max,mme_std,scenario,scale
2059,1078.5532653061225,1045.5471428571427,788.2839285714286,1221.1835714285714,592.9121428571428,1892.4785714285715,435.30062533278283,ssp245,wet
2060,1274.912448979592,1110.1414285714284,934.5296428571428,1723.7307142857144,698.4492857142857,1799.2757142857147,462.4853046824891,ssp245,wet
2061,1063.390918367347,1035.9135714285715,900.5828571428573,1240.2889285714284,757.3221428571429,1368.757142857143,232.04050756122544,ssp245,wet
2062,1123.7289795918366,1178.3685714285714,996.6610714285714,1241.0825,843.3585714285715,1368.8885714285716,185.88360060657718,ssp245,wet
2063,1167.5107142857144,1223.9064285714287,1133.2717857142857,1328.039285714286,567.3228571428571,1458.7235714285714,292.63001128604725,ssp245,wet
2064,1104.4187755102041,1121.4764285714286,925.6185714285714,1297.7671428571427,714.9799999999999,1447.7035714285714,273.518250925925,ssp245,wet
2065,1107.506224489796,1180.3357142857144,923.0932142857145,1260.1542857142858,724.1400000000001,1481.5728571428572,261.504169448399,ssp245,wet
2066,1367.2032653061226,1386.17,1139.4392857142857,1564.6242857142859,1062.56,1713.5657142857144,260.29416418248553,ssp245,wet
2067,1031.4946938775508,1001.5921428571428,922.2017857142857,1183.3621428571428,587.3242857142858,1420.418571428571,267.1444236568715,ssp245,wet
2068,1046.0523469387756,1066.050714285714,879.77,1255.1957142857145,703.4385714285714,1282.945714285714,233.86149503095777,ssp245,wet
2069,1136.5608163265308,1034.9271428571426,923.6882142857144,1199.164642857143,737.922142857143,1937.3707142857143,389.90128310803306,ssp245,wet
2070,1164.1985714285715,1159.0435714285716,1130.5325,1191.4714285714285,939.1999999999999,1407.1385714285714,139.42206824949196,ssp245,wet
2071,1100.9994897959184,1155.0242857142857,952.2867857142858,1207.7207142857142,752.2578571428572,1479.6992857142861,253.55247905274948,ssp245,wet
2072,1238.960918367347,1322.8985714285714,1116.4064285714285,1354.8014285714285,845.7621428571429,1561.65,250.2961822068654,ssp245,wet
2073,1140.7310204081632,1189.4285714285713,926.4767857142858,1358.2296428571426,700.8721428571429,1525.4035714285715,318.79341638499665,ssp245,wet
2074,1164.0824489795918,1146.492857142857,812.6635714285715,1365.712142857143,752.5978571428572,1892.735,418.02158587948566,ssp245,wet
2075,1071.2033673469389,1076.5885714285714,972.7200000000001,1153.9010714285714,910.4721428571429,1258.1207142857143,127.31365944954369,ssp245,wet
2076,1040.1869387755103,945.2,825.5135714285714,1190.3135714285713,681.8335714285715,1622.6207142857145,330.47931786577243,ssp245,wet
2077,1016.5307142857142,969.807857142857,866.3253571428572,1190.975,678.3692857142858,1352.9371428571426,237.57751267586676,ssp245,wet
2078,1268.2031632653059,1273.0614285714287,968.1017857142855,1549.15,764.6107142857143,1805.2464285714286,390.4073882645414,ssp245,wet
2079,1108.9412244897958,1169.3314285714282,1013.9732142857142,1240.0503571428571,662.2685714285715,1422.9414285714286,261.2322373418948,ssp245,wet
2080,1129.0281632653061,1072.0078571428571,930.1949999999999,1357.9914285714285,652.7257142857143,1602.090714285714,330.6751118755708,ssp245,wet
2081,962.8553061224491,1016.0035714285716,871.7107142857142,1073.5182142857143,734.955,1098.5707142857143,140.4699922864984,ssp245,wet
2082,1127.4136734693877,1168.5821428571428,879.1571428571426,1211.0057142857145,728.2900000000001,1814.6978571428572,360.5317194138046,ssp245,wet
2083,989.3597959183674,1031.7785714285715,834.7771428571428,1199.1067857142857,540.9800000000001,1284.992142857143,289.5839010333733,ssp245,wet
2084,883.5855102040815,905.4507142857141,887.1414285714286,958.0642857142857,471.5521428571429,1117.6842857142858,198.48555672179853,ssp245,wet
2085,874.4462244897959,704.3207142857144,672.5989285714286,1119.922857142857,640.1364285714286,1191.6228571428571,255.13434771734575,ssp245,wet
2086,1050.201224489796,1104.6535714285715,964.372142857143,1159.7585714285715,566.61,1431.8835714285717,270.48726537847256,ssp245,wet
2087,1076.4860204081633,977.7535714285715,780.5285714285715,1310.5703571428571,705.5378571428572,1669.912857142857,382.0813114210385,ssp245,wet
2088,1094.6285714285714,1150.4778571428571,991.9171428571428,1227.0003571428572,677.4157142857142,1396.6714285714286,233.72589057156114,ssp245,wet
2089,1066.2783673469387,1155.8664285714287,892.0014285714285,1225.9475,739.6757142857144,1332.5085714285713,231.78472755154053,ssp245,wet
2090,1037.7027551020408,1038.3635714285715,964.7932142857143,1232.4332142857143,480.7621428571428,1350.340714285714,294.7445253086011,ssp245,wet
2091,1151.4660204081633,1070.012857142857,891.2807142857143,1304.214642857143,743.7557142857142,1855.5028571428572,383.400604422547,ssp245,wet
2092,1149.2310204081632,1066.3364285714285,946.9253571428571,1312.7575000000002,814.2335714285715,1644.6814285714283,294.0899079926731,ssp245,wet
2093,1069.751224489796,1123.4392857142857,896.1557142857143,1251.3682142857144,689.9335714285714,1379.837857142857,255.05574712191333,ssp245,wet
2094,1193.3957142857141,1150.9271428571428,995.1071428571427,1257.4260714285713,815.9664285714285,1881.81,343.7486647236899,ssp245,wet
2095,1097.2328571428573,988.6350000000001,879.7103571428572,1264.1810714285716,793.3985714285715,1610.8135714285713,294.7953953566259,ssp245,wet
