source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,Rx1day,MRI-ESM2-0,grid_734a0a607f8697f4,LA_NINA,12,3,32.025499999999994,39.76566666666667,-7.740166666666674,-19.464445878773166,True
RAW,RAINY,Rx1day,MRI-ESM2-0,grid_f7737890dbe1030c,LA_NINA,12,3,34.84241666666667,31.137333333333334,3.705083333333338,11.899167130561398,True
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,EL_NINO,4,13,25.0,20.692307692307693,4.307692307692307,20.817843866170996,True
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_91a222defd5ca790,EL_NINO,4,13,14.0,11.615384615384615,2.384615384615385,20.529801324503318,True
RAW,RAINY,CDD,CESM2,grid_07764f63e0a851cb,EL_NINO,11,4,12.181818181818182,8.25,3.9318181818181817,47.65840220385675,True
RAW,RAINY,CDD,CESM2,grid_75b745206e31761f,EL_NINO,11,4,9.818181818181818,7.0,2.8181818181818183,40.25974025974026,True
RAW,RAINY,CDD,CESM2,grid_a881af875d124648,EL_NINO,11,4,9.909090909090908,8.25,1.6590909090909083,20.110192837465554,True
RAW,RAINY,CDD,CanESM5,grid_a0c557522bffc319,EL_NINO,5,10,10.8,7.5,3.3000000000000007,44.00000000000001,True
RAW,RAINY,CDD,EC-Earth3,grid_9303f05137547d56,EL_NINO,6,10,20.833333333333332,16.5,4.333333333333332,26.262626262626256,True
RAW,RAINY,CDD,EC-Earth3,grid_9da29437bf4e821a,EL_NINO,6,10,29.5,27.5,2.0,7.2727272727272725,True
RAW,RAINY,CDD,EC-Earth3,grid_a66ff45ee66c4de6,EL_NINO,6,10,24.833333333333332,22.7,2.133333333333333,9.397944199706313,True
RAW,RAINY,CDD,EC-Earth3,grid_dc4d6a079af8a48b,EL_NINO,6,10,42.833333333333336,38.9,3.933333333333337,10.1113967437875,True
RAW,RAINY,CDD,EC-Earth3,grid_e28e705640008453,EL_NINO,6,10,23.333333333333332,16.0,7.333333333333332,45.83333333333333,True
RAW,RAINY,CDD,FGOALS-g3,grid_55d8abe4f8a2fad6,EL_NINO,6,4,38.666666666666664,42.5,-3.8333333333333357,-9.019607843137262,True
RAW,RAINY,CDD,FGOALS-g3,grid_bec124c723ff4cc0,EL_NINO,6,4,30.0,25.25,4.75,18.81188118811881,True
RAW,RAINY,CDD,MIROC6,grid_646dc39f1698cf7c,EL_NINO,12,4,8.75,9.5,-0.75,-7.894736842105263,True
RAW,RAINY,CDD,MIROC6,grid_e76c7caef96c7398,EL_NINO,12,4,10.916666666666666,11.0,-0.08333333333333393,-0.757575757575763,True
RAW,RAINY,CDD,MRI-ESM2-0,grid_6cf183365c07226e,EL_NINO,7,3,17.714285714285715,15.666666666666666,2.0476190476190492,13.069908814589677,True
RAW,RAINY,CDD,MRI-ESM2-0,grid_734a0a607f8697f4,EL_NINO,7,3,16.857142857142858,9.333333333333334,7.523809523809524,80.61224489795919,True
RAW,RAINY,CDD,MRI-ESM2-0,grid_f7737890dbe1030c,EL_NINO,7,3,7.428571428571429,9.333333333333334,-1.904761904761905,-20.408163265306126,True
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,LA_NINA,2,13,17.0,20.692307692307693,,,False
RAW,RAINY,CDD,ACCESS-ESM1-5,grid_91a222defd5ca790,LA_NINA,2,13,11.5,11.615384615384615,,,False
RAW,RAINY,CDD,CESM2,grid_07764f63e0a851cb,LA_NINA,5,4,10.4,8.25,2.1500000000000004,26.060606060606062,True
RAW,RAINY,CDD,CESM2,grid_75b745206e31761f,LA_NINA,5,4,8.2,7.0,1.1999999999999993,17.14285714285713,True
RAW,RAINY,CDD,CESM2,grid_a881af875d124648,LA_NINA,5,4,9.0,8.25,0.75,9.090909090909092,True
RAW,RAINY,CDD,CanESM5,grid_a0c557522bffc319,LA_NINA,7,10,12.714285714285714,7.5,5.2142857142857135,69.5238095238095,True
RAW,RAINY,CDD,EC-Earth3,grid_9303f05137547d56,LA_NINA,4,10,23.5,16.5,7.0,42.42424242424242,True
RAW,RAINY,CDD,EC-Earth3,grid_9da29437bf4e821a,LA_NINA,4,10,32.5,27.5,5.0,18.181818181818183,True
RAW,RAINY,CDD,EC-Earth3,grid_a66ff45ee66c4de6,LA_NINA,4,10,24.25,22.7,1.5500000000000007,6.828193832599122,True
RAW,RAINY,CDD,EC-Earth3,grid_dc4d6a079af8a48b,LA_NINA,4,10,44.25,38.9,5.350000000000001,13.753213367609257,True
RAW,RAINY,CDD,EC-Earth3,grid_e28e705640008453,LA_NINA,4,10,23.75,16.0,7.75,48.4375,True
RAW,RAINY,CDD,FGOALS-g3,grid_55d8abe4f8a2fad6,LA_NINA,6,4,44.666666666666664,42.5,2.1666666666666643,5.098039215686269,True
RAW,RAINY,CDD,FGOALS-g3,grid_bec124c723ff4cc0,LA_NINA,6,4,31.666666666666668,25.25,6.416666666666668,25.412541254125415,True
RAW,RAINY,CDD,MIROC6,grid_646dc39f1698cf7c,LA_NINA,12,4,11.083333333333334,9.5,1.583333333333334,16.666666666666675,True
RAW,RAINY,CDD,MIROC6,grid_e76c7caef96c7398,LA_NINA,12,4,12.5,11.0,1.5,13.636363636363637,True
RAW,RAINY,CDD,MRI-ESM2-0,grid_6cf183365c07226e,LA_NINA,12,3,16.75,15.666666666666666,1.083333333333334,6.914893617021281,True
RAW,RAINY,CDD,MRI-ESM2-0,grid_734a0a607f8697f4,LA_NINA,12,3,16.416666666666668,9.333333333333334,7.083333333333334,75.89285714285714,True
RAW,RAINY,CDD,MRI-ESM2-0,grid_f7737890dbe1030c,LA_NINA,12,3,9.0,9.333333333333334,-0.3333333333333339,-3.5714285714285774,True
RAW,HOT_DRY,PRCPTOT,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,EL_NINO,10,12,130.45469999999997,152.42108333333334,-21.96638333333337,-14.411643621043263,True
RAW,HOT_DRY,PRCPTOT,ACCESS-ESM1-5,grid_91a222defd5ca790,EL_NINO,10,12,188.6486,201.3480833333333,-12.699483333333319,-6.307228319779546,True
RAW,HOT_DRY,PRCPTOT,CESM2,grid_07764f63e0a851cb,EL_NINO,14,5,334.92964285714277,298.17300000000006,36.75664285714271,12.327287466384515,True
