Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,Rx1day,29.62,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,Rx5day,73.38,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2026,OK,SDII,5.659085714285714,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,CDD,39.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,CWD,44.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,PRCPTOT,1322.29,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,R10mm,35.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,R20mm,11.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,R50mm,1.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,R95p,70.9,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,Rx1day,70.9,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,Rx5day,130.35,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2027,OK,SDII,6.886927083333333,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,CDD,47.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,CWD,17.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,PRCPTOT,700.8399999999999,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,R10mm,16.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,R20mm,2.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,Rx1day,35.6,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,Rx5day,92.59,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2028,OK,SDII,4.580653594771241,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,CDD,32.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,CWD,27.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,PRCPTOT,1088.96,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,R10mm,29.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,R20mm,8.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,Rx1day,27.61,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,Rx5day,86.31,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2029,OK,SDII,6.258390804597702,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,CDD,31.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,CWD,50.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,PRCPTOT,1315.4999999999998,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,R10mm,38.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,R20mm,13.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,R50mm,2.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,R95p,150.48,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,R99p,91.11,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,Rx1day,91.11,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,Rx5day,195.22,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2030,OK,SDII,7.188524590163933,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,CDD,33.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,CWD,21.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,PRCPTOT,978.2699999999998,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,R10mm,29.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,R20mm,4.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,R50mm,0.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,R95p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,R99p,0.0,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,Rx1day,33.63,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,Rx5day,100.85000000000001,mm
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2031,OK,SDII,5.965060975609755,mm day-1
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2032,OK,CDD,34.0,days
2021-2050,ACCESS-ESM1-5,SSP2-4.5,351011,2032,OK,CWD,31.0,days
