Model,Scenario,Index,n_stations,median_sen_slope,median_mmk_z,median_mmk_p_descriptive_only
CESM2,SSP2-4.5,R10mm,13,0.043478260869565216,0.7671153591975698,0.3997094457893716
CESM2,SSP2-4.5,R20mm,13,0.0,0.1421640388767351,0.841613000521875
CESM2,SSP2-4.5,R50mm,13,0.0,1.1961716656120753,0.1093517394818893
CESM2,SSP2-4.5,R95p,13,1.5195454545454554,0.832356187596934,0.40520792418577267
CESM2,SSP2-4.5,R99p,13,0.0,1.3356867527778993,0.18165168107701246
CESM2,SSP2-4.5,Rx1day,13,0.49727272727272714,1.8434604243032466,0.06526181484667117
CESM2,SSP2-4.5,Rx5day,13,1.5939999999999999,3.1841271760463243,0.0014519120807544757
CESM2,SSP2-4.5,SDII,13,0.013878378378378464,0.7698614070896068,0.44138210893247865
CESM2,SSP5-8.5,CDD,13,0.10526315789473684,1.0778836019885265,0.17500594630648925
CESM2,SSP5-8.5,CWD,13,0.0,0.6883258660449569,0.2900799686529486
CESM2,SSP5-8.5,PRCPTOT,13,-1.4923529411764709,-0.5105096988833031,0.6096944214594955
CESM2,SSP5-8.5,R10mm,13,-0.14285714285714285,-1.6901253810266212,0.09100397008973028
CESM2,SSP5-8.5,R20mm,13,-0.058823529411764705,-0.6314223334398558,0.5277644170098128
CESM2,SSP5-8.5,R50mm,13,0.0,-0.39061113321294955,0.19579965831434665
CESM2,SSP5-8.5,R95p,13,-0.9055000000000006,-0.325374339651959,0.49373744376008166
CESM2,SSP5-8.5,R99p,13,0.0,0.0,0.4124895363358315
CESM2,SSP5-8.5,Rx1day,13,0.09450000000000003,0.33624533579882154,0.5198714681025027
CESM2,SSP5-8.5,Rx5day,13,-0.4958823529411769,-1.1715826642646736,0.17154530663876644
CESM2,SSP5-8.5,SDII,13,-0.02002890882601032,-1.3628238904840324,0.06001028302185817
CanESM5,SSP2-4.5,CDD,13,-0.28,-1.5136235440595698,0.04134093155790809
CanESM5,SSP2-4.5,CWD,13,0.08695652173913043,2.060026932482827,0.03939596616771745
CanESM5,SSP2-4.5,PRCPTOT,13,-2.9276,-0.702512006240595,0.48235991689117397
CanESM5,SSP2-4.5,R10mm,13,-0.2777777777777778,-1.8349700266774935,0.06651013068693491
CanESM5,SSP2-4.5,R20mm,13,0.0,-0.03873445309774984,0.5879640039042522
CanESM5,SSP2-4.5,R50mm,13,0.0,0.06149701684083989,0.47647858072504423
CanESM5,SSP2-4.5,R95p,13,0.48249999999999815,0.4889357773899248,0.5122125695371261
CanESM5,SSP2-4.5,R99p,13,0.0,0.3797257116729803,0.5435945302517693
CanESM5,SSP2-4.5,Rx1day,13,0.6788235294117645,2.481979807937561,0.01306546788010604
CanESM5,SSP2-4.5,Rx5day,13,1.3049999999999997,2.7948549110607046,0.005192301234558635
CanESM5,SSP2-4.5,SDII,13,-0.0063800225110432545,-0.19223409889518844,0.3299317607068324
CanESM5,SSP5-8.5,CDD,13,-0.09090909090909091,-0.37422117159319035,0.19031776890973018
CanESM5,SSP5-8.5,CWD,13,0.0,1.8687913542853771,0.012587397641852915
CanESM5,SSP5-8.5,PRCPTOT,13,-2.019999999999982,-0.8551749009696843,0.39245432893854026
CanESM5,SSP5-8.5,R10mm,13,0.0,0.0,0.6900703525035434
CanESM5,SSP5-8.5,R20mm,13,-0.045454545454545456,-1.2623030140028955,0.20683977258000052
CanESM5,SSP5-8.5,R50mm,13,0.0,-1.972726203049155,0.04852676492550207
CanESM5,SSP5-8.5,R95p,13,-2.9800000000000026,-2.4103180628059877,0.015938618639063894
CanESM5,SSP5-8.5,R99p,13,0.0,-1.9027929813888267,0.057067563408945865
CanESM5,SSP5-8.5,Rx1day,13,-0.48107142857142854,-2.622011156163851,0.00874125695463059
CanESM5,SSP5-8.5,Rx5day,13,-0.5866666666666683,-1.3951226476100997,0.16297885776347198
CanESM5,SSP5-8.5,SDII,13,-0.04755752753977959,-2.6738713381871957,0.007498121235866164
EC-Earth3,SSP2-4.5,CDD,13,-0.3333333333333333,-1.8797118288315753,0.06014736258448755
EC-Earth3,SSP2-4.5,CWD,13,0.0,1.4694056759014478,0.09060526213951361
EC-Earth3,SSP2-4.5,PRCPTOT,13,3.642999999999995,1.3912200840112987,0.16415869876792044
EC-Earth3,SSP2-4.5,R10mm,13,0.13333333333333333,1.9658500073328493,0.04931593931830423
EC-Earth3,SSP2-4.5,R20mm,13,0.0,1.1410564526946194,0.2336483132089313
EC-Earth3,SSP2-4.5,R50mm,13,0.0,0.35477501536374967,0.3181695113006061
EC-Earth3,SSP2-4.5,R95p,13,1.7700000000000002,1.1353118896394896,0.2066055475436689
EC-Earth3,SSP2-4.5,R99p,13,0.0,0.6281399126951486,0.4857551259030837
EC-Earth3,SSP2-4.5,Rx1day,13,0.20307692307692313,0.6384861663010701,0.38788730137733174
EC-Earth3,SSP2-4.5,Rx5day,13,0.8629629629629628,1.565703573370948,0.11741802934348264
EC-Earth3,SSP2-4.5,SDII,13,0.019987586206896567,0.8849021429354038,0.3081972704570428
EC-Earth3,SSP5-8.5,CDD,13,-0.13043478260869565,-1.1817732103176373,0.07437391093094857
EC-Earth3,SSP5-8.5,CWD,13,-0.08333333333333333,-2.359507651844242,0.011622707378601506
EC-Earth3,SSP5-8.5,PRCPTOT,13,-0.37666666666670306,-0.15503961292431864,0.8532356408058974
EC-Earth3,SSP5-8.5,R10mm,13,0.09090909090909091,0.6237645745412125,0.41175679751572725
